sim_time, tortoise/coxa_hinge3?0/position
73.777, 0.00747283
73.778, 0.00747238
73.779, 0.00747196
73.78, 0.00746664
73.781, 0.00746382
73.782, 0.00746385
73.783, 0.0074639
73.784, 0.00746319
73.785, 0.00746207
73.786, 0.00746107
73.787, 0.00746028
73.788, 0.00745962
73.789, 0.00745907
73.79, 0.00745857
73.791, 0.00745812
73.792, 0.00745769
73.793, 0.00745728
73.794, 0.00745689
73.795, 0.0074565
73.796, 0.0074561
73.797, 0.00745571
73.798, 0.00745531
73.799, 0.0074549
73.8, 0.00745449
73.801, 0.00745406
73.802, 0.00745364
73.803, 0.00745321
73.804, 0.00745277
73.805, 0.00745233
73.806, 0.00745189
73.807, 0.00745144
73.808, 0.007451
73.809, 0.00745055
73.81, 0.0074501
73.811, 0.00744965
73.812, 0.0074492
73.813, 0.00744875
73.814, 0.0074483
73.815, 0.00744785
73.816, 0.0074474
73.817, 0.00744695
73.818, 0.0074465
73.819, 0.00744606
73.82, 0.00744561
73.821, 0.00744021
73.822, 0.00743754
73.823, 0.00743752
73.824, 0.00743702
73.825, 0.00743636
73.826, 0.00743573
73.827, 0.00743519
73.828, 0.00743469
73.829, 0.00743424
73.83, 0.0074338
73.831, 0.00743338
73.832, 0.00743295
73.833, 0.00743253
73.834, 0.00743211
73.835, 0.00743168
73.836, 0.00743125
73.837, 0.00743082
73.838, 0.00743038
73.839, 0.00742994
73.84, 0.0074295
73.841, 0.00742905
73.842, 0.0074286
73.843, 0.00742815
73.844, 0.0074277
73.845, 0.00742725
73.846, 0.00742679
73.847, 0.00742634
73.848, 0.00742588
73.849, 0.00742543
73.85, 0.00742497
73.851, 0.00742452
73.852, 0.00742406
73.853, 0.00742361
73.854, 0.00742316
73.855, 0.0074227
73.856, 0.00742225
73.857, 0.0074218
73.858, 0.00742135
73.859, 0.0074209
73.86, 0.00742045
73.861, 0.00742
73.862, 0.00741453
73.863, 0.00741182
73.864, 0.0074118
73.865, 0.00741129
73.866, 0.00741057
73.867, 0.00740986
73.868, 0.00740922
73.869, 0.00740864
73.87, 0.00740811
73.871, 0.00740762
73.872, 0.00740715
73.873, 0.00740164
73.874, 0.00739889
