sim_time, tortoise/tibia_hinge1?0/position
73.777, 1.5563
73.778, 1.5563
73.779, 1.5563
73.78, 1.5563
73.781, 1.5563
73.782, 1.5563
73.783, 1.5563
73.784, 1.5563
73.785, 1.5563
73.786, 1.5563
73.787, 1.5563
73.788, 1.5563
73.789, 1.5563
73.79, 1.5563
73.791, 1.5563
73.792, 1.5563
73.793, 1.5563
73.794, 1.5563
73.795, 1.5563
73.796, 1.5563
73.797, 1.5563
73.798, 1.5563
73.799, 1.5563
73.8, 1.5563
73.801, 1.5563
73.802, 1.5563
73.803, 1.5563
73.804, 1.5563
73.805, 1.5563
73.806, 1.5563
73.807, 1.5563
73.808, 1.5563
73.809, 1.5563
73.81, 1.5563
73.811, 1.5563
73.812, 1.5563
73.813, 1.5563
73.814, 1.5563
73.815, 1.5563
73.816, 1.5563
73.817, 1.5563
73.818, 1.5563
73.819, 1.5563
73.82, 1.5563
73.821, 1.5563
73.822, 1.5563
73.823, 1.5563
73.824, 1.5563
73.825, 1.5563
73.826, 1.5563
73.827, 1.5563
73.828, 1.5563
73.829, 1.5563
73.83, 1.5563
73.831, 1.5563
73.832, 1.5563
73.833, 1.5563
73.834, 1.5563
73.835, 1.5563
73.836, 1.5563
73.837, 1.5563
73.838, 1.5563
73.839, 1.5563
73.84, 1.5563
73.841, 1.5563
73.842, 1.5563
73.843, 1.5563
73.844, 1.5563
73.845, 1.5563
73.846, 1.5563
73.847, 1.5563
73.848, 1.5563
73.849, 1.5563
73.85, 1.5563
73.851, 1.5563
73.852, 1.5563
73.853, 1.5563
73.854, 1.5563
73.855, 1.5563
73.856, 1.5563
73.857, 1.5563
73.858, 1.5563
73.859, 1.5563
73.86, 1.5563
73.861, 1.5563
73.862, 1.5563
73.863, 1.5563
73.864, 1.5563
73.865, 1.5563
73.866, 1.5563
73.867, 1.5563
73.868, 1.5563
73.869, 1.5563
73.87, 1.5563
73.871, 1.5563
73.872, 1.5563
73.873, 1.5563
73.874, 1.55629
73.875, 1.55629
73.876, 1.55629
73.877, 1.55629
73.878, 1.55629
73.879, 1.55629
73.88, 1.55629
73.881, 1.55629
73.882, 1.55629
73.883, 1.55629
73.884, 1.55629
73.885, 1.55629
73.886, 1.55629
73.887, 1.55629
73.888, 1.55629
73.889, 1.55629
73.89, 1.55629
73.891, 1.55629
73.892, 1.55629
73.893, 1.55629
73.894, 1.55629
73.895, 1.55629
73.896, 1.55629
73.897, 1.55629
73.898, 1.55629
