sim_time, tortoise/coxa_hinge3?0/position
56.777, 0.00798546
56.778, 0.00798396
56.779, 0.0079799
56.78, 0.00797893
56.781, 0.00797271
56.782, 0.00796994
56.783, 0.00796474
56.784, 0.00796271
56.785, 0.00795448
56.786, 0.00795132
56.787, 0.00794613
56.788, 0.0079428
56.789, 0.0079372
56.79, 0.00793521
56.791, 0.00792807
56.792, 0.00792453
56.793, 0.00791859
56.794, 0.00791597
56.795, 0.00790722
56.796, 0.00790365
56.797, 0.00789815
56.798, 0.0078946
56.799, 0.00788885
56.8, 0.00788677
56.801, 0.0078796
56.802, 0.00787602
56.803, 0.0078701
56.804, 0.00786748
56.805, 0.00785878
56.806, 0.00785523
56.807, 0.00784981
56.808, 0.00784631
56.809, 0.00784065
56.81, 0.00783863
56.811, 0.00783157
56.812, 0.00782806
56.813, 0.00782226
56.814, 0.00781973
56.815, 0.00781115
56.816, 0.0078077
56.817, 0.00780239
56.818, 0.00779897
56.819, 0.00779345
56.82, 0.00779151
56.821, 0.00778458
56.822, 0.00778118
56.823, 0.00777551
56.824, 0.00777308
56.825, 0.00776463
56.826, 0.00776128
56.827, 0.00775612
56.828, 0.00775278
56.829, 0.00774739
56.83, 0.00774554
56.831, 0.00773875
56.832, 0.00773545
56.833, 0.00772992
56.834, 0.00772759
56.835, 0.00771927
56.836, 0.00771602
56.837, 0.00771099
56.838, 0.00770774
56.839, 0.00770248
56.84, 0.00770071
56.841, 0.00769406
56.842, 0.00769089
56.843, 0.00768551
56.844, 0.00768328
56.845, 0.0076751
56.846, 0.00767197
56.847, 0.00766708
56.848, 0.00766391
56.849, 0.00765878
56.85, 0.00765709
56.851, 0.00765057
56.852, 0.00764751
56.853, 0.00764226
56.854, 0.00764013
56.855, 0.00763208
56.856, 0.00762905
56.857, 0.00762429
56.858, 0.0076212
56.859, 0.00761618
56.86, 0.00761458
56.861, 0.00760818
56.862, 0.00760523
56.863, 0.00760011
56.864, 0.00759806
56.865, 0.00759014
56.866, 0.00758624
56.867, 0.00758081
56.868, 0.00757843
56.869, 0.00757273
56.87, 0.00757063
56.871, 0.00756333
56.872, 0.00755984
56.873, 0.00755469
56.874, 0.00755252
56.875, 0.00754709
56.876, 0.0075452
56.877, 0.00753815
56.878, 0.00753496
56.879, 0.00753
56.88, 0.00752801
56.881, 0.00752277
56.882, 0.00752108
56.883, 0.00751425
56.884, 0.0075113
56.885, 0.00750653
56.886, 0.00750469
56.887, 0.00749963
56.888, 0.00749809
56.889, 0.00749143
56.89, 0.00748864
56.891, 0.00748399
56.892, 0.00748226
56.893, 0.00747732
56.894, 0.00747587
56.895, 0.00746932
56.896, 0.00746662
56.897, 0.00746206
56.898, 0.00746039
56.899, 0.00745554
56.9, 0.00745414
56.901, 0.00744766
56.902, 0.00744503
56.903, 0.00744053
56.904, 0.00743891
56.905, 0.00743412
56.906, 0.00743278
56.907, 0.00742636
56.908, 0.00742377
56.909, 0.00741933
56.91, 0.00741775
56.911, 0.00741302
56.912, 0.00741172
56.913, 0.00740536
56.914, 0.00740281
56.915, 0.00739843
56.916, 0.00739688
56.917, 0.00739222
56.918, 0.00739096
56.919, 0.00738465
56.92, 0.00738213
56.921, 0.0073778
56.922, 0.0073763
56.923, 0.00737169
56.924, 0.00737047
56.925, 0.00736421
56.926, 0.00736173
56.927, 0.00735745
56.928, 0.00735598
56.929, 0.00735143
56.93, 0.00735025
56.931, 0.00734404
56.932, 0.00734159
56.933, 0.00733736
56.934, 0.00733593
56.935, 0.00733143
56.936, 0.00733029
56.937, 0.00732412
56.938, 0.0073217
56.939, 0.00731753
56.94, 0.00731613
56.941, 0.00731168
56.942, 0.00731058
56.943, 0.00730446
56.944, 0.00730207
56.945, 0.00729794
56.946, 0.00729658
56.947, 0.00729218
56.948, 0.00729112
56.949, 0.00728504
56.95, 0.00728268
56.951, 0.0072786
56.952, 0.00727726
56.953, 0.00727292
56.954, 0.00727189
56.955, 0.00726585
56.956, 0.00726352
56.957, 0.00725949
56.958, 0.00725818
56.959, 0.00725389
56.96, 0.0072529
56.961, 0.0072469
56.962, 0.00724459
56.963, 0.0072406
56.964, 0.00723933
56.965, 0.00723509
56.966, 0.00723413
56.967, 0.00722817
56.968, 0.00722589
56.969, 0.00722194
56.97, 0.0072207
56.971, 0.00721651
56.972, 0.00721558
56.973, 0.00720966
56.974, 0.00720741
56.975, 0.0072035
56.976, 0.00720229
56.977, 0.00719814
56.978, 0.00719725
56.979, 0.00719137
56.98, 0.00718914
56.981, 0.00718527
56.982, 0.00718409
56.983, 0.00717998
56.984, 0.00717912
56.985, 0.00717328
56.986, 0.00717107
56.987, 0.00716725
56.988, 0.00716609
56.989, 0.00716203
56.99, 0.0071612
56.991, 0.00715539
56.992, 0.00715321
56.993, 0.00714943
56.994, 0.0071483
56.995, 0.00714428
56.996, 0.00714348
