sim_time, tortoise/femur_hinge2?0/position
56.777, 0.0152382
56.778, 0.0152386
56.779, 0.0152266
56.78, 0.0152269
56.781, 0.0152269
56.782, 0.0152268
56.783, 0.015224
56.784, 0.0152241
56.785, 0.0152241
56.786, 0.0152373
56.787, 0.0152309
56.788, 0.0152434
56.789, 0.0152343
56.79, 0.0152345
56.791, 0.0152345
56.792, 0.0152345
56.793, 0.0152299
56.794, 0.01523
56.795, 0.01523
56.796, 0.015243
56.797, 0.015236
56.798, 0.0152487
56.799, 0.015239
56.8, 0.0152392
56.801, 0.0152393
56.802, 0.0152392
56.803, 0.0152345
56.804, 0.0152346
56.805, 0.0152345
56.806, 0.0152475
56.807, 0.0152404
56.808, 0.0152532
56.809, 0.0152433
56.81, 0.0152436
56.811, 0.0152436
56.812, 0.0152436
56.813, 0.0152388
56.814, 0.0152389
56.815, 0.0152389
56.816, 0.0152518
56.817, 0.0152446
56.818, 0.0152575
56.819, 0.0152476
56.82, 0.0152478
56.821, 0.0152479
56.822, 0.0152478
56.823, 0.015243
56.824, 0.0152432
56.825, 0.0152431
56.826, 0.015256
56.827, 0.0152488
56.828, 0.0152618
56.829, 0.0152518
56.83, 0.015252
56.831, 0.0152521
56.832, 0.0152521
56.833, 0.0152472
56.834, 0.0152474
56.835, 0.0152473
56.836, 0.0152601
56.837, 0.0152529
56.838, 0.015266
56.839, 0.015256
56.84, 0.0152562
56.841, 0.0152563
56.842, 0.0152562
56.843, 0.0152515
56.844, 0.0152516
56.845, 0.0152516
56.846, 0.0152643
56.847, 0.015257
56.848, 0.0152703
56.849, 0.0152602
56.85, 0.0152604
56.851, 0.0152605
56.852, 0.0152605
56.853, 0.0152557
56.854, 0.0152558
56.855, 0.0152558
56.856, 0.0152685
56.857, 0.0152611
56.858, 0.0152745
56.859, 0.0152643
56.86, 0.0152646
56.861, 0.0152646
56.862, 0.0152646
56.863, 0.0152599
56.864, 0.01526
56.865, 0.01526
56.866, 0.0152599
56.867, 0.015259
56.868, 0.0152591
56.869, 0.0152592
56.87, 0.0152594
56.871, 0.0152594
56.872, 0.0152594
56.873, 0.0152595
56.874, 0.0152597
56.875, 0.0152597
56.876, 0.0152599
56.877, 0.0152599
56.878, 0.0152599
56.879, 0.01526
56.88, 0.0152602
56.881, 0.0152602
56.882, 0.0152604
56.883, 0.0152604
56.884, 0.0152604
56.885, 0.0152605
56.886, 0.0152607
56.887, 0.0152607
56.888, 0.0152609
56.889, 0.0152609
56.89, 0.0152609
56.891, 0.015261
56.892, 0.0152612
56.893, 0.0152612
56.894, 0.0152614
56.895, 0.0152614
56.896, 0.0152614
56.897, 0.0152615
56.898, 0.0152617
56.899, 0.0152617
56.9, 0.0152619
56.901, 0.0152619
56.902, 0.0152619
56.903, 0.015262
56.904, 0.0152622
56.905, 0.0152622
56.906, 0.0152624
56.907, 0.0152624
56.908, 0.0152624
56.909, 0.0152625
56.91, 0.0152627
56.911, 0.0152627
56.912, 0.0152629
56.913, 0.0152629
56.914, 0.0152629
56.915, 0.015263
56.916, 0.0152632
56.917, 0.0152632
56.918, 0.0152634
56.919, 0.0152634
56.92, 0.0152634
56.921, 0.0152635
56.922, 0.0152637
56.923, 0.0152638
56.924, 0.015264
56.925, 0.0152639
56.926, 0.0152639
56.927, 0.0152641
56.928, 0.0152643
56.929, 0.0152643
56.93, 0.0152645
56.931, 0.0152645
56.932, 0.0152645
56.933, 0.0152646
56.934, 0.0152648
56.935, 0.0152648
56.936, 0.0152651
56.937, 0.015265
56.938, 0.015265
56.939, 0.0152652
56.94, 0.0152654
56.941, 0.0152654
56.942, 0.0152656
56.943, 0.0152656
56.944, 0.0152656
56.945, 0.0152657
56.946, 0.0152659
56.947, 0.015266
56.948, 0.0152662
56.949, 0.0152661
56.95, 0.0152661
56.951, 0.0152663
56.952, 0.0152665
56.953, 0.0152665
56.954, 0.0152667
56.955, 0.0152667
56.956, 0.0152667
56.957, 0.0152669
56.958, 0.0152671
56.959, 0.0152671
56.96, 0.0152673
56.961, 0.0152673
56.962, 0.0152673
56.963, 0.0152674
56.964, 0.0152676
56.965, 0.0152677
56.966, 0.0152679
56.967, 0.0152679
56.968, 0.0152679
56.969, 0.015268
56.97, 0.0152682
56.971, 0.0152683
56.972, 0.0152685
56.973, 0.0152685
56.974, 0.0152685
56.975, 0.0152686
56.976, 0.0152688
56.977, 0.0152689
56.978, 0.0152691
56.979, 0.0152691
56.98, 0.0152691
56.981, 0.0152692
56.982, 0.0152694
56.983, 0.0152695
56.984, 0.0152697
56.985, 0.0152697
56.986, 0.0152697
56.987, 0.0152698
56.988, 0.01527
56.989, 0.0152701
56.99, 0.0152703
56.991, 0.0152703
56.992, 0.0152703
56.993, 0.0152704
56.994, 0.0152706
56.995, 0.0152707
56.996, 0.0152709
56.997, 0.0152709
56.998, 0.0152709
56.999, 0.0152711
57, 0.0152713
57.001, 0.0152713
57.002, 0.0152715
57.003, 0.0152715
57.004, 0.0152715
57.005, 0.0152717
57.006, 0.0152881
57.007, 0.015288
57.008, 0.015288
57.009, 0.0152749
57.01, 0.0152752
57.011, 0.0152753
57.012, 0.0152753
57.013, 0.0152661
57.014, 0.0152663
57.015, 0.0152664
57.016, 0.0152664
57.017, 0.0152659
57.018, 0.015279
57.019, 0.0152789
57.02, 0.0152789
57.021, 0.0152652
57.022, 0.0152655
57.023, 0.0152657
57.024, 0.0152657
57.025, 0.0152564
57.026, 0.0152569
57.027, 0.0152481
57.028, 0.0152484
57.029, 0.0152485
57.03, 0.0152485
57.031, 0.0152487
57.032, 0.0152637
57.033, 0.0152637
57.034, 0.0152637
57.035, 0.0152512
57.036, 0.0152515
57.037, 0.0152515
57.038, 0.0152516
57.039, 0.0152517
57.04, 0.0152654
57.041, 0.0152653
57.042, 0.0152653
57.043, 0.0152519
57.044, 0.0152522
57.045, 0.0152404
57.046, 0.0152409
57.047, 0.0152333
57.048, 0.0152333
57.049, 0.0152274
57.05, 0.0152274
57.051, 0.0152229
57.052, 0.0152229
57.053, 0.015219
57.054, 0.015219
57.055, 0.0152156
57.056, 0.0152156
57.057, 0.0152126
57.058, 0.0152126
57.059, 0.0152098
57.06, 0.015247
57.061, 0.015247
57.062, 0.0152474
57.063, 0.0152473
57.064, 0.0152473
57.065, 0.0152472
57.066, 0.0152663
57.067, 0.0152664
57.068, 0.0152665
57.069, 0.0152664
57.07, 0.015285
57.071, 0.0152852
57.072, 0.0152853
57.073, 0.0152812
57.074, 0.0152814
57.075, 0.0152813
57.076, 0.0152814
57.077, 0.0152814
57.078, 0.0152815
57.079, 0.0152815
57.08, 0.0152816
57.081, 0.0152816
57.082, 0.0152818
57.083, 0.0152818
57.084, 0.0152819
57.085, 0.0152819
57.086, 0.0152821
57.087, 0.0152821
57.088, 0.0152823
57.089, 0.0152824
57.09, 0.0152826
57.091, 0.0152826
57.092, 0.0152828
57.093, 0.0152829
57.094, 0.0152831
57.095, 0.0152831
57.096, 0.0152833
57.097, 0.0152834
57.098, 0.0152836
57.099, 0.0152837
57.1, 0.0152839
57.101, 0.0152839
57.102, 0.0152841
57.103, 0.0152842
57.104, 0.0152844
57.105, 0.0152845
57.106, 0.0152847
57.107, 0.0152848
57.108, 0.015285
57.109, 0.015285
57.11, 0.0152853
57.111, 0.0152853
57.112, 0.0152855
57.113, 0.0152856
57.114, 0.0152858
57.115, 0.0152859
57.116, 0.0152861
57.117, 0.0152862
57.118, 0.0152864
57.119, 0.0152864
57.12, 0.0152867
57.121, 0.0152867
57.122, 0.0152869
57.123, 0.015287
57.124, 0.0152872
57.125, 0.0152873
57.126, 0.0152875
57.127, 0.0152875
57.128, 0.0152878
57.129, 0.0152878
57.13, 0.015288
57.131, 0.0152881
57.132, 0.0152883
57.133, 0.0152884
57.134, 0.0152886
57.135, 0.0152886
57.136, 0.0152889
57.137, 0.0152889
57.138, 0.0152891
57.139, 0.0152892
57.14, 0.0152894
57.141, 0.0152895
57.142, 0.0152897
57.143, 0.0152897
57.144, 0.01529
57.145, 0.01529
57.146, 0.0152902
57.147, 0.0152903
57.148, 0.0152905
57.149, 0.0152906
57.15, 0.0152908
57.151, 0.0152908
57.152, 0.015291
57.153, 0.0152911
57.154, 0.0152913
57.155, 0.0152914
57.156, 0.0152916
57.157, 0.0152916
57.158, 0.0152918
57.159, 0.0152919
57.16, 0.0152921
57.161, 0.0152922
57.162, 0.0152924
57.163, 0.0152924
57.164, 0.0152926
57.165, 0.0152927
57.166, 0.0152929
57.167, 0.015293
57.168, 0.0152932
57.169, 0.0152932
57.17, 0.0152934
57.171, 0.0152935
57.172, 0.0152937
57.173, 0.0152937
57.174, 0.015294
57.175, 0.015294
57.176, 0.0152942
57.177, 0.0152943
57.178, 0.0152945
57.179, 0.0152945
57.18, 0.0152947
57.181, 0.0152948
57.182, 0.015295
57.183, 0.015295
57.184, 0.0152952
57.185, 0.0152953
57.186, 0.0152955
57.187, 0.0152955
57.188, 0.0152958
57.189, 0.0152958
57.19, 0.015296
57.191, 0.015296
57.192, 0.0152963
57.193, 0.0152963
57.194, 0.0152965
57.195, 0.0152966
57.196, 0.0152968
57.197, 0.0152968
57.198, 0.015297
57.199, 0.0152971
57.2, 0.0152973
57.201, 0.0152973
57.202, 0.0152975
57.203, 0.0152976
57.204, 0.0152978
57.205, 0.0152978
57.206, 0.015298
57.207, 0.015298
57.208, 0.0152983
57.209, 0.0152983
57.21, 0.0152985
57.211, 0.0152985
57.212, 0.0152988
57.213, 0.0152988
57.214, 0.015299
57.215, 0.015299
57.216, 0.0152992
57.217, 0.0152993
57.218, 0.0152995
57.219, 0.0152995
57.22, 0.0152997
57.221, 0.0152998
57.222, 0.0153
57.223, 0.0153
57.224, 0.0153002
57.225, 0.0153002
57.226, 0.0153005
57.227, 0.0153005
57.228, 0.0153007
57.229, 0.0153007
57.23, 0.0153009
57.231, 0.015301
57.232, 0.0153012
57.233, 0.0153012
57.234, 0.0153014
57.235, 0.0153014
57.236, 0.0153016
57.237, 0.0153017
57.238, 0.0153019
57.239, 0.0153019
57.24, 0.0153021
57.241, 0.0153022
57.242, 0.0153024
57.243, 0.0153024
57.244, 0.0153026
57.245, 0.0153026
57.246, 0.0153028
57.247, 0.0153029
57.248, 0.0153031
57.249, 0.0153031
57.25, 0.0153033
57.251, 0.0153033
57.252, 0.0153035
57.253, 0.0153036
57.254, 0.0153038
57.255, 0.0153038
57.256, 0.015304
57.257, 0.015304
57.258, 0.0153042
57.259, 0.0153042
