sim_time, tortoise/tibia_hinge2?0/position
56.777, 1.5469
56.778, 1.54691
56.779, 1.54691
56.78, 1.54691
56.781, 1.54691
56.782, 1.54691
56.783, 1.54691
56.784, 1.54691
56.785, 1.54691
56.786, 1.54691
56.787, 1.54691
56.788, 1.54691
56.789, 1.54691
56.79, 1.54691
56.791, 1.54691
56.792, 1.54691
56.793, 1.54691
56.794, 1.54692
56.795, 1.54692
56.796, 1.54692
56.797, 1.54692
56.798, 1.54692
56.799, 1.54692
56.8, 1.54692
56.801, 1.54692
56.802, 1.54692
56.803, 1.54692
56.804, 1.54692
56.805, 1.54692
56.806, 1.54692
56.807, 1.54692
56.808, 1.54692
56.809, 1.54692
56.81, 1.54693
56.811, 1.54693
56.812, 1.54693
56.813, 1.54693
56.814, 1.54693
56.815, 1.54693
56.816, 1.54693
56.817, 1.54693
56.818, 1.54693
56.819, 1.54693
56.82, 1.54693
56.821, 1.54693
56.822, 1.54693
56.823, 1.54693
56.824, 1.54693
56.825, 1.54693
56.826, 1.54693
56.827, 1.54694
56.828, 1.54694
56.829, 1.54694
56.83, 1.54694
56.831, 1.54694
56.832, 1.54694
56.833, 1.54694
56.834, 1.54694
56.835, 1.54694
56.836, 1.54694
56.837, 1.54694
56.838, 1.54694
56.839, 1.54694
56.84, 1.54694
56.841, 1.54694
56.842, 1.54694
56.843, 1.54695
56.844, 1.54695
56.845, 1.54695
56.846, 1.54695
56.847, 1.54695
56.848, 1.54695
56.849, 1.54695
56.85, 1.54695
56.851, 1.54695
56.852, 1.54695
56.853, 1.54695
56.854, 1.54695
56.855, 1.54695
56.856, 1.54695
56.857, 1.54696
56.858, 1.54696
56.859, 1.54696
56.86, 1.54696
56.861, 1.54696
56.862, 1.54696
56.863, 1.54696
56.864, 1.54696
56.865, 1.54696
56.866, 1.54696
56.867, 1.54696
56.868, 1.54696
56.869, 1.54696
56.87, 1.54696
56.871, 1.54696
56.872, 1.54696
56.873, 1.54696
56.874, 1.54696
56.875, 1.54697
56.876, 1.54697
56.877, 1.54697
56.878, 1.54697
56.879, 1.54697
56.88, 1.54697
56.881, 1.54697
56.882, 1.54697
56.883, 1.54697
56.884, 1.54697
56.885, 1.54697
56.886, 1.54697
56.887, 1.54697
56.888, 1.54697
56.889, 1.54697
56.89, 1.54697
56.891, 1.54697
56.892, 1.54697
56.893, 1.54697
56.894, 1.54697
56.895, 1.54697
56.896, 1.54697
56.897, 1.54697
56.898, 1.54698
56.899, 1.54698
56.9, 1.54698
56.901, 1.54698
56.902, 1.54698
56.903, 1.54698
56.904, 1.54698
56.905, 1.54698
56.906, 1.54698
56.907, 1.54698
56.908, 1.54698
56.909, 1.54698
56.91, 1.54698
56.911, 1.54698
56.912, 1.54698
56.913, 1.54698
56.914, 1.54698
56.915, 1.54698
56.916, 1.54698
56.917, 1.54698
56.918, 1.54698
56.919, 1.54698
56.92, 1.54699
56.921, 1.54699
56.922, 1.54699
56.923, 1.54699
56.924, 1.54699
56.925, 1.54699
56.926, 1.54699
56.927, 1.54699
56.928, 1.54699
56.929, 1.54699
56.93, 1.54699
56.931, 1.54699
56.932, 1.54699
56.933, 1.54699
56.934, 1.54699
56.935, 1.54699
56.936, 1.54699
56.937, 1.54699
56.938, 1.54699
56.939, 1.54699
56.94, 1.54699
56.941, 1.54699
56.942, 1.547
56.943, 1.547
56.944, 1.547
56.945, 1.547
56.946, 1.547
56.947, 1.547
56.948, 1.547
56.949, 1.547
56.95, 1.547
56.951, 1.547
56.952, 1.547
56.953, 1.547
56.954, 1.547
56.955, 1.547
56.956, 1.547
56.957, 1.547
56.958, 1.547
56.959, 1.547
56.96, 1.547
56.961, 1.547
56.962, 1.54701
56.963, 1.54701
56.964, 1.54701
56.965, 1.54701
56.966, 1.54701
56.967, 1.54701
56.968, 1.54701
56.969, 1.54701
56.97, 1.54701
56.971, 1.54701
56.972, 1.54701
56.973, 1.54701
56.974, 1.54701
56.975, 1.54701
56.976, 1.54701
56.977, 1.54701
56.978, 1.54701
56.979, 1.54701
56.98, 1.54701
56.981, 1.54701
56.982, 1.54702
56.983, 1.54702
56.984, 1.54702
56.985, 1.54702
56.986, 1.54702
56.987, 1.54702
56.988, 1.54702
56.989, 1.54702
56.99, 1.54702
56.991, 1.54702
56.992, 1.54702
56.993, 1.54702
56.994, 1.54702
56.995, 1.54702
56.996, 1.54702
56.997, 1.54702
56.998, 1.54702
56.999, 1.54702
57, 1.54702
57.001, 1.54702
57.002, 1.54703
57.003, 1.54703
57.004, 1.54703
57.005, 1.54703
57.006, 1.54703
57.007, 1.54703
57.008, 1.54704
57.009, 1.54705
57.01, 1.54705
57.011, 1.54705
57.012, 1.54705
57.013, 1.54705
57.014, 1.54705
57.015, 1.54705
57.016, 1.54705
57.017, 1.54706
57.018, 1.54706
57.019, 1.54706
57.02, 1.54707
57.021, 1.54707
57.022, 1.54708
57.023, 1.54708
57.024, 1.54708
57.025, 1.54708
57.026, 1.54708
57.027, 1.54708
57.028, 1.54709
57.029, 1.54709
57.03, 1.54709
57.031, 1.54709
57.032, 1.54709
57.033, 1.54709
57.034, 1.54711
57.035, 1.54711
57.036, 1.54711
57.037, 1.54711
57.038, 1.54711
57.039, 1.54711
57.04, 1.54711
57.041, 1.54711
57.042, 1.54713
57.043, 1.54713
57.044, 1.54713
57.045, 1.54713
57.046, 1.54713
57.047, 1.54713
57.048, 1.54714
57.049, 1.54714
57.05, 1.54714
57.051, 1.54714
57.052, 1.54715
57.053, 1.54715
57.054, 1.54715
57.055, 1.54715
57.056, 1.54716
57.057, 1.54716
57.058, 1.54716
57.059, 1.54716
57.06, 1.54716
57.061, 1.54716
57.062, 1.54716
57.063, 1.54716
57.064, 1.54716
57.065, 1.54716
57.066, 1.54716
57.067, 1.54716
57.068, 1.54716
57.069, 1.54716
57.07, 1.54716
57.071, 1.54716
57.072, 1.54717
57.073, 1.54717
57.074, 1.54717
57.075, 1.54717
57.076, 1.54717
57.077, 1.54717
57.078, 1.54717
57.079, 1.54717
57.08, 1.54717
57.081, 1.54717
57.082, 1.54717
57.083, 1.54717
57.084, 1.54717
57.085, 1.54717
57.086, 1.54717
57.087, 1.54717
57.088, 1.54717
57.089, 1.54717
57.09, 1.54717
57.091, 1.54717
57.092, 1.54718
57.093, 1.54718
57.094, 1.54718
57.095, 1.54718
57.096, 1.54718
57.097, 1.54718
57.098, 1.54718
57.099, 1.54718
57.1, 1.54718
57.101, 1.54718
57.102, 1.54718
57.103, 1.54718
57.104, 1.54718
57.105, 1.54718
57.106, 1.54718
57.107, 1.54719
57.108, 1.54719
57.109, 1.54719
57.11, 1.54719
57.111, 1.54719
57.112, 1.54719
57.113, 1.54719
57.114, 1.54719
57.115, 1.54719
57.116, 1.54719
57.117, 1.54719
57.118, 1.54719
57.119, 1.54719
57.12, 1.54719
57.121, 1.5472
57.122, 1.5472
57.123, 1.5472
57.124, 1.5472
57.125, 1.5472
57.126, 1.5472
57.127, 1.5472
57.128, 1.5472
57.129, 1.5472
57.13, 1.5472
57.131, 1.5472
57.132, 1.5472
57.133, 1.5472
57.134, 1.5472
57.135, 1.5472
57.136, 1.54721
57.137, 1.54721
57.138, 1.54721
57.139, 1.54721
57.14, 1.54721
57.141, 1.54721
57.142, 1.54721
57.143, 1.54721
57.144, 1.54721
57.145, 1.54721
57.146, 1.54721
57.147, 1.54721
57.148, 1.54721
57.149, 1.54721
57.15, 1.54722
57.151, 1.54722
57.152, 1.54722
57.153, 1.54722
57.154, 1.54722
57.155, 1.54722
57.156, 1.54722
57.157, 1.54722
57.158, 1.54722
57.159, 1.54722
57.16, 1.54722
57.161, 1.54722
57.162, 1.54722
57.163, 1.54722
57.164, 1.54723
57.165, 1.54723
57.166, 1.54723
57.167, 1.54723
57.168, 1.54723
57.169, 1.54723
57.17, 1.54723
57.171, 1.54723
57.172, 1.54723
57.173, 1.54723
57.174, 1.54723
57.175, 1.54723
57.176, 1.54723
57.177, 1.54723
57.178, 1.54723
57.179, 1.54723
57.18, 1.54724
57.181, 1.54724
57.182, 1.54724
57.183, 1.54724
57.184, 1.54724
57.185, 1.54724
57.186, 1.54724
57.187, 1.54724
57.188, 1.54724
57.189, 1.54724
57.19, 1.54724
57.191, 1.54724
57.192, 1.54724
57.193, 1.54724
57.194, 1.54724
57.195, 1.54725
57.196, 1.54725
57.197, 1.54725
57.198, 1.54725
57.199, 1.54725
57.2, 1.54725
57.201, 1.54725
57.202, 1.54725
57.203, 1.54725
57.204, 1.54725
57.205, 1.54725
57.206, 1.54725
57.207, 1.54725
57.208, 1.54725
57.209, 1.54725
57.21, 1.54726
57.211, 1.54726
57.212, 1.54726
57.213, 1.54726
57.214, 1.54726
57.215, 1.54726
57.216, 1.54726
57.217, 1.54726
57.218, 1.54726
57.219, 1.54726
57.22, 1.54726
57.221, 1.54726
57.222, 1.54726
57.223, 1.54726
57.224, 1.54726
57.225, 1.54726
57.226, 1.54727
57.227, 1.54727
57.228, 1.54727
57.229, 1.54727
57.23, 1.54727
57.231, 1.54727
57.232, 1.54727
57.233, 1.54727
57.234, 1.54727
57.235, 1.54727
57.236, 1.54727
57.237, 1.54727
57.238, 1.54727
57.239, 1.54727
57.24, 1.54727
57.241, 1.54727
57.242, 1.54728
57.243, 1.54728
57.244, 1.54728
57.245, 1.54728
57.246, 1.54728
57.247, 1.54728
57.248, 1.54728
57.249, 1.54728
57.25, 1.54728
57.251, 1.54728
57.252, 1.54728
57.253, 1.54728
57.254, 1.54728
57.255, 1.54728
57.256, 1.54728
57.257, 1.54728
57.258, 1.54729
57.259, 1.54729
57.26, 1.54729
57.261, 1.54729
57.262, 1.54729
57.263, 1.54729
57.264, 1.54729
57.265, 1.54729
57.266, 1.54729
57.267, 1.54729
57.268, 1.54729
57.269, 1.54729
57.27, 1.54729
57.271, 1.54729
57.272, 1.54729
57.273, 1.54729
57.274, 1.54729
57.275, 1.54729
57.276, 1.5473
57.277, 1.5473
57.278, 1.5473
57.279, 1.5473
57.28, 1.5473
57.281, 1.5473
57.282, 1.5473
57.283, 1.5473
57.284, 1.5473
57.285, 1.5473
57.286, 1.5473
57.287, 1.5473
57.288, 1.5473
57.289, 1.5473
57.29, 1.5473
57.291, 1.5473
57.292, 1.54731
57.293, 1.54731
57.294, 1.54731
57.295, 1.54731
57.296, 1.54731
57.297, 1.54731
57.298, 1.54731
57.299, 1.54731
57.3, 1.54731
57.301, 1.54731
57.302, 1.54731
57.303, 1.54731
57.304, 1.54731
57.305, 1.54731
57.306, 1.54731
57.307, 1.54731
57.308, 1.54731
57.309, 1.54731
57.31, 1.54732
57.311, 1.54732
57.312, 1.54732
57.313, 1.54732
57.314, 1.54732
57.315, 1.54732
57.316, 1.54732
57.317, 1.54732
57.318, 1.54732
57.319, 1.54732
57.32, 1.54732
57.321, 1.54732
57.322, 1.54732
57.323, 1.54732
57.324, 1.54732
57.325, 1.54732
57.326, 1.54732
57.327, 1.54732
57.328, 1.54732
57.329, 1.54732
57.33, 1.54733
57.331, 1.54733
57.332, 1.54733
57.333, 1.54733
57.334, 1.54733
57.335, 1.54733
57.336, 1.54733
57.337, 1.54733
57.338, 1.54733
57.339, 1.54733
57.34, 1.54733
57.341, 1.54733
57.342, 1.54733
57.343, 1.54733
57.344, 1.54733
57.345, 1.54733
57.346, 1.54733
57.347, 1.54733
57.348, 1.54733
57.349, 1.54733
57.35, 1.54734
57.351, 1.54734
57.352, 1.54734
57.353, 1.54734
57.354, 1.54734
57.355, 1.54734
57.356, 1.54734
57.357, 1.54734
57.358, 1.54734
57.359, 1.54734
57.36, 1.54734
57.361, 1.54734
57.362, 1.54734
57.363, 1.54734
57.364, 1.54734
57.365, 1.54734
57.366, 1.54734
57.367, 1.54734
57.368, 1.54734
57.369, 1.54734
57.37, 1.54734
57.371, 1.54735
57.372, 1.54735
57.373, 1.54735
57.374, 1.54735
57.375, 1.54735
57.376, 1.54735
57.377, 1.54735
57.378, 1.54735
57.379, 1.54735
57.38, 1.54735
57.381, 1.54735
57.382, 1.54735
57.383, 1.54735
57.384, 1.54735
57.385, 1.54735
57.386, 1.54735
57.387, 1.54735
57.388, 1.54735
57.389, 1.54735
57.39, 1.54735
57.391, 1.54735
57.392, 1.54736
57.393, 1.54736
57.394, 1.54736
57.395, 1.54736
57.396, 1.54736
57.397, 1.54736
57.398, 1.54736
57.399, 1.54736
57.4, 1.54736
57.401, 1.54736
57.402, 1.54736
57.403, 1.54736
57.404, 1.54736
57.405, 1.54736
57.406, 1.54736
57.407, 1.54736
57.408, 1.54736
57.409, 1.54736
57.41, 1.54736
57.411, 1.54736
57.412, 1.54736
57.413, 1.54736
57.414, 1.54736
57.415, 1.54737
57.416, 1.54737
57.417, 1.54737
57.418, 1.54737
57.419, 1.54737
57.42, 1.54737
57.421, 1.54737
57.422, 1.54737
57.423, 1.54737
57.424, 1.54737
57.425, 1.54737
57.426, 1.54737
57.427, 1.54737
57.428, 1.54737
57.429, 1.54737
57.43, 1.54737
57.431, 1.54737
57.432, 1.54737
57.433, 1.54737
57.434, 1.54737
57.435, 1.54737
57.436, 1.54737
57.437, 1.54737
57.438, 1.54738
57.439, 1.54738
57.44, 1.54738
57.441, 1.54738
57.442, 1.54738
57.443, 1.54738
57.444, 1.54738
57.445, 1.54738
57.446, 1.54738
57.447, 1.54738
57.448, 1.54738
57.449, 1.54738
57.45, 1.54738
57.451, 1.54738
57.452, 1.54738
57.453, 1.54738
57.454, 1.54738
57.455, 1.54738
57.456, 1.54738
57.457, 1.54738
57.458, 1.54738
