sim_time, tortoise/coxa_hinge1?0/position
21.777, -0.00770436
21.778, -0.00770319
21.779, -0.00770237
21.78, -0.00770144
21.781, -0.00770027
21.782, -0.00769945
21.783, -0.00769851
21.784, -0.00769734
21.785, -0.00769652
21.786, -0.00769559
21.787, -0.00769441
21.788, -0.00769359
21.789, -0.00769266
21.79, -0.00769149
21.791, -0.00769067
21.792, -0.00768973
21.793, -0.00768856
21.794, -0.00768774
21.795, -0.0076868
21.796, -0.00768563
21.797, -0.00768481
21.798, -0.00768387
21.799, -0.0076827
21.8, -0.00768188
21.801, -0.00768094
21.802, -0.00767977
21.803, -0.00767895
21.804, -0.00767801
21.805, -0.00767684
21.806, -0.00767602
21.807, -0.00767508
21.808, -0.00767391
21.809, -0.00767309
21.81, -0.00767215
21.811, -0.00767097
21.812, -0.00767016
21.813, -0.00766922
21.814, -0.00766804
21.815, -0.00766722
21.816, -0.00766628
21.817, -0.00766511
21.818, -0.00766429
21.819, -0.00766335
21.82, -0.00766217
21.821, -0.00766135
21.822, -0.00766041
21.823, -0.00765924
21.824, -0.00765842
21.825, -0.00765748
21.826, -0.0076563
21.827, -0.00765548
21.828, -0.00765454
21.829, -0.00765336
21.83, -0.00765254
21.831, -0.0076516
21.832, -0.00765043
21.833, -0.00764961
21.834, -0.00764866
21.835, -0.00764749
21.836, -0.00764667
21.837, -0.00764573
21.838, -0.00764455
21.839, -0.00764373
21.84, -0.00764279
21.841, -0.00764161
21.842, -0.00764079
21.843, -0.00763984
21.844, -0.00763867
21.845, -0.00763785
21.846, -0.0076369
21.847, -0.00763572
21.848, -0.0076349
21.849, -0.00763396
21.85, -0.00763278
21.851, -0.00763196
21.852, -0.00763102
21.853, -0.00762984
21.854, -0.00762902
21.855, -0.00762807
21.856, -0.00762689
21.857, -0.00762607
21.858, -0.00762513
21.859, -0.00762395
21.86, -0.00762313
21.861, -0.00762218
21.862, -0.007621
21.863, -0.00762018
21.864, -0.00761923
21.865, -0.00761805
21.866, -0.00761723
21.867, -0.00761629
21.868, -0.0076151
21.869, -0.00761428
21.87, -0.00761334
21.871, -0.00761215
21.872, -0.00761133
21.873, -0.00761039
21.874, -0.0076092
21.875, -0.00760838
21.876, -0.00760744
21.877, -0.00760625
21.878, -0.00760543
21.879, -0.00760448
21.88, -0.0076033
21.881, -0.00760248
21.882, -0.00760153
21.883, -0.00760035
21.884, -0.00759953
21.885, -0.00759858
21.886, -0.00759739
21.887, -0.00759657
21.888, -0.00759562
21.889, -0.00759444
21.89, -0.00759362
21.891, -0.00759267
21.892, -0.00759149
21.893, -0.00759066
21.894, -0.00758971
21.895, -0.00758853
21.896, -0.00758771
21.897, -0.00758676
21.898, -0.00758557
21.899, -0.00758475
21.9, -0.0075838
21.901, -0.00758262
21.902, -0.00758179
21.903, -0.00758084
21.904, -0.00757966
21.905, -0.00757884
21.906, -0.00757789
21.907, -0.0075767
21.908, -0.00757588
21.909, -0.00757493
21.91, -0.00757374
21.911, -0.00757292
21.912, -0.00757197
21.913, -0.00757078
21.914, -0.00756996
21.915, -0.00756901
21.916, -0.00756783
21.917, -0.007567
21.918, -0.00756605
21.919, -0.00756487
21.92, -0.00756405
21.921, -0.0075631
21.922, -0.00756191
21.923, -0.00756109
21.924, -0.00756014
21.925, -0.00755895
21.926, -0.00755813
21.927, -0.00755718
21.928, -0.00755599
21.929, -0.00755517
21.93, -0.00755422
21.931, -0.00755303
21.932, -0.00755221
21.933, -0.00755126
21.934, -0.00755008
21.935, -0.00754925
21.936, -0.00754831
21.937, -0.00754712
21.938, -0.0075463
21.939, -0.00754535
21.94, -0.00754416
21.941, -0.00754334
21.942, -0.00754239
21.943, -0.0075412
21.944, -0.00754038
21.945, -0.00753944
21.946, -0.00753825
21.947, -0.00753743
21.948, -0.00753648
21.949, -0.00753529
21.95, -0.00753447
21.951, -0.00753352
21.952, -0.00753234
21.953, -0.00753151
21.954, -0.00753057
21.955, -0.00752938
21.956, -0.00752856
21.957, -0.00752761
21.958, -0.00752642
21.959, -0.0075256
21.96, -0.00752466
21.961, -0.00752347
21.962, -0.00752265
21.963, -0.0075217
21.964, -0.00752052
21.965, -0.0075197
21.966, -0.00751875
21.967, -0.00751756
21.968, -0.00751674
21.969, -0.0075158
21.97, -0.00751461
21.971, -0.00751379
21.972, -0.00751285
21.973, -0.00751166
21.974, -0.00751084
21.975, -0.0075099
21.976, -0.00750871
21.977, -0.00750789
21.978, -0.00750694
21.979, -0.00750576
21.98, -0.00750494
21.981, -0.00750399
21.982, -0.00750281
21.983, -0.00750198
21.984, -0.00750104
21.985, -0.00749986
21.986, -0.00749903
21.987, -0.00749809
21.988, -0.00749691
21.989, -0.00749609
21.99, -0.00749515
21.991, -0.00749396
21.992, -0.00749314
21.993, -0.0074922
21.994, -0.00749101
21.995, -0.00749019
21.996, -0.00748925
21.997, -0.00748806
21.998, -0.00748724
21.999, -0.0074863
22, -0.00748511
22.001, -0.00748429
22.002, -0.00748336
22.003, -0.00748217
22.004, -0.00748135
22.005, -0.00748041
22.006, -0.00747922
22.007, -0.0074784
22.008, -0.00747747
22.009, -0.00747628
22.01, -0.00747546
22.011, -0.00747452
22.012, -0.00747333
22.013, -0.00747252
22.014, -0.00747158
22.015, -0.00747039
22.016, -0.00746957
22.017, -0.00746864
22.018, -0.00746745
22.019, -0.00746663
22.02, -0.0074657
22.021, -0.00746451
22.022, -0.00746369
22.023, -0.00746276
22.024, -0.00746157
22.025, -0.00746075
22.026, -0.00745982
22.027, -0.00745863
22.028, -0.00745782
22.029, -0.00745688
22.03, -0.0074557
22.031, -0.00745488
22.032, -0.00745395
22.033, -0.00745276
22.034, -0.00745195
22.035, -0.00745102
22.036, -0.00744983
22.037, -0.00744901
22.038, -0.00744808
22.039, -0.00744689
22.04, -0.00744608
22.041, -0.00744515
22.042, -0.00744396
22.043, -0.00744315
22.044, -0.00744222
22.045, -0.00744103
22.046, -0.00744022
22.047, -0.00743929
22.048, -0.0074381
22.049, -0.00743729
22.05, -0.00743636
22.051, -0.00743517
22.052, -0.00743436
22.053, -0.00743343
22.054, -0.00743225
22.055, -0.00743143
22.056, -0.00743051
22.057, -0.00742932
22.058, -0.00742851
22.059, -0.00742758
22.06, -0.00742639
22.061, -0.00742558
22.062, -0.00742466
22.063, -0.00742347
22.064, -0.00742266
22.065, -0.00742173
22.066, -0.00742055
22.067, -0.00741974
22.068, -0.00741881
22.069, -0.00741763
22.07, -0.00741682
22.071, -0.00741589
22.072, -0.0074147
22.073, -0.0074139
22.074, -0.00741297
22.075, -0.00741178
22.076, -0.00741098
22.077, -0.00741005
22.078, -0.00740887
22.079, -0.00740806
22.08, -0.00740714
22.081, -0.00740595
22.082, -0.00740514
22.083, -0.00740422
22.084, -0.00740303
22.085, -0.00740223
22.086, -0.0074013
22.087, -0.00740012
22.088, -0.00739931
22.089, -0.00739839
22.09, -0.0073972
22.091, -0.0073964
22.092, -0.00739548
22.093, -0.00739429
22.094, -0.00739349
22.095, -0.00739257
22.096, -0.00739138
22.097, -0.00739058
22.098, -0.00738965
22.099, -0.00738847
22.1, -0.00738766
22.101, -0.00738674
22.102, -0.00738556
22.103, -0.00738476
22.104, -0.00738383
22.105, -0.00738265
22.106, -0.00738185
22.107, -0.00738093
22.108, -0.00737974
22.109, -0.00737894
22.11, -0.00737802
22.111, -0.00737683
