sim_time, tortoise/femur_hinge3?0/position
21.777, 0.231406
21.778, 0.231404
21.779, 0.231404
21.78, 0.231403
21.781, 0.231402
21.782, 0.231401
21.783, 0.231401
21.784, 0.231399
21.785, 0.231398
21.786, 0.231398
21.787, 0.231397
21.788, 0.231396
21.789, 0.231396
21.79, 0.231394
21.791, 0.231393
21.792, 0.231393
21.793, 0.231392
21.794, 0.231391
21.795, 0.231391
21.796, 0.231389
21.797, 0.231388
21.798, 0.231388
21.799, 0.231387
21.8, 0.231386
21.801, 0.231386
21.802, 0.231384
21.803, 0.231383
21.804, 0.231383
21.805, 0.231382
21.806, 0.231381
21.807, 0.231381
21.808, 0.231379
21.809, 0.231379
21.81, 0.231378
21.811, 0.231377
21.812, 0.231376
21.813, 0.231376
21.814, 0.231374
21.815, 0.231374
21.816, 0.231373
21.817, 0.231372
21.818, 0.231371
21.819, 0.231371
21.82, 0.231369
21.821, 0.231369
21.822, 0.231368
21.823, 0.231367
21.824, 0.231366
21.825, 0.231366
21.826, 0.231365
21.827, 0.231364
21.828, 0.231364
21.829, 0.231362
21.83, 0.231361
21.831, 0.231361
21.832, 0.23136
21.833, 0.231359
21.834, 0.231359
21.835, 0.231357
21.836, 0.231357
21.837, 0.231356
21.838, 0.231355
21.839, 0.231354
21.84, 0.231354
21.841, 0.231352
21.842, 0.231352
21.843, 0.231352
21.844, 0.23135
21.845, 0.231349
21.846, 0.231349
21.847, 0.231348
21.848, 0.231347
21.849, 0.231347
21.85, 0.231345
21.851, 0.231345
21.852, 0.231345
21.853, 0.231343
21.854, 0.231342
21.855, 0.231342
21.856, 0.231341
21.857, 0.23134
21.858, 0.23134
21.859, 0.231338
21.86, 0.231338
21.861, 0.231337
21.862, 0.231336
21.863, 0.231335
21.864, 0.231335
21.865, 0.231334
21.866, 0.231333
21.867, 0.231333
21.868, 0.231331
21.869, 0.231331
21.87, 0.23133
21.871, 0.231329
21.872, 0.231328
21.873, 0.231328
21.874, 0.231327
21.875, 0.231326
21.876, 0.231326
21.877, 0.231324
21.878, 0.231324
21.879, 0.231324
21.88, 0.231322
21.881, 0.231321
21.882, 0.231321
21.883, 0.23132
21.884, 0.231319
21.885, 0.231319
21.886, 0.231317
21.887, 0.231317
21.888, 0.231317
21.889, 0.231315
21.89, 0.231315
21.891, 0.231314
21.892, 0.231313
21.893, 0.231312
21.894, 0.231312
21.895, 0.231311
21.896, 0.23131
21.897, 0.23131
21.898, 0.231308
21.899, 0.231308
21.9, 0.231308
21.901, 0.231306
21.902, 0.231305
21.903, 0.231305
21.904, 0.231304
21.905, 0.231303
21.906, 0.231303
21.907, 0.231302
21.908, 0.231301
21.909, 0.231301
21.91, 0.231299
21.911, 0.231299
21.912, 0.231299
21.913, 0.231297
21.914, 0.231296
21.915, 0.231296
21.916, 0.231295
21.917, 0.231294
21.918, 0.231294
21.919, 0.231293
21.92, 0.231292
21.921, 0.231292
21.922, 0.23129
21.923, 0.23129
21.924, 0.23129
21.925, 0.231288
21.926, 0.231288
21.927, 0.231287
21.928, 0.231286
21.929, 0.231285
21.93, 0.231285
21.931, 0.231284
21.932, 0.231283
21.933, 0.231283
21.934, 0.231282
21.935, 0.231281
21.936, 0.231281
21.937, 0.231279
21.938, 0.231279
21.939, 0.231278
21.94, 0.231277
21.941, 0.231276
21.942, 0.231276
21.943, 0.231275
21.944, 0.231274
21.945, 0.231274
21.946, 0.231273
21.947, 0.231272
21.948, 0.231272
21.949, 0.23127
21.95, 0.23127
21.951, 0.23127
21.952, 0.231268
21.953, 0.231267
21.954, 0.231267
21.955, 0.231266
21.956, 0.231265
21.957, 0.231265
21.958, 0.231264
21.959, 0.231263
21.96, 0.231263
