sim_time, tortoise/tibia_hinge3?0/position
21.777, 1.31464
21.778, 1.31465
21.779, 1.31465
21.78, 1.31466
21.781, 1.31466
21.782, 1.31466
21.783, 1.31467
21.784, 1.31467
21.785, 1.31468
21.786, 1.31468
21.787, 1.31469
21.788, 1.31469
21.789, 1.3147
21.79, 1.3147
21.791, 1.3147
21.792, 1.31471
21.793, 1.31471
21.794, 1.31472
21.795, 1.31472
21.796, 1.31473
21.797, 1.31473
21.798, 1.31474
21.799, 1.31474
21.8, 1.31474
21.801, 1.31475
21.802, 1.31475
21.803, 1.31476
21.804, 1.31476
21.805, 1.31477
21.806, 1.31477
21.807, 1.31478
21.808, 1.31478
21.809, 1.31478
21.81, 1.31479
21.811, 1.31479
21.812, 1.3148
21.813, 1.3148
21.814, 1.31481
21.815, 1.31481
21.816, 1.31482
21.817, 1.31482
21.818, 1.31482
21.819, 1.31483
21.82, 1.31483
21.821, 1.31484
21.822, 1.31484
21.823, 1.31485
21.824, 1.31485
21.825, 1.31485
21.826, 1.31486
21.827, 1.31486
21.828, 1.31487
21.829, 1.31487
21.83, 1.31488
21.831, 1.31488
21.832, 1.31489
21.833, 1.31489
21.834, 1.31489
21.835, 1.3149
21.836, 1.3149
21.837, 1.31491
21.838, 1.31491
21.839, 1.31492
21.84, 1.31492
21.841, 1.31493
21.842, 1.31493
21.843, 1.31493
21.844, 1.31494
21.845, 1.31494
21.846, 1.31495
21.847, 1.31495
21.848, 1.31495
21.849, 1.31496
21.85, 1.31496
21.851, 1.31497
21.852, 1.31497
21.853, 1.31498
21.854, 1.31498
21.855, 1.31498
21.856, 1.31499
21.857, 1.31499
21.858, 1.315
21.859, 1.315
21.86, 1.31501
21.861, 1.31501
21.862, 1.31501
21.863, 1.31502
21.864, 1.31502
21.865, 1.31503
21.866, 1.31503
21.867, 1.31503
21.868, 1.31504
21.869, 1.31504
21.87, 1.31505
21.871, 1.31505
21.872, 1.31506
21.873, 1.31506
21.874, 1.31507
21.875, 1.31507
21.876, 1.31507
21.877, 1.31508
21.878, 1.31508
21.879, 1.31509
21.88, 1.31509
21.881, 1.31509
21.882, 1.3151
21.883, 1.3151
21.884, 1.31511
21.885, 1.31511
21.886, 1.31512
21.887, 1.31512
21.888, 1.31512
21.889, 1.31513
21.89, 1.31513
21.891, 1.31514
21.892, 1.31514
21.893, 1.31514
21.894, 1.31515
21.895, 1.31515
21.896, 1.31516
21.897, 1.31516
21.898, 1.31517
21.899, 1.31517
21.9, 1.31517
21.901, 1.31518
21.902, 1.31518
21.903, 1.31518
21.904, 1.31519
21.905, 1.31519
21.906, 1.3152
21.907, 1.3152
21.908, 1.31521
21.909, 1.31521
21.91, 1.31521
21.911, 1.31522
21.912, 1.31522
21.913, 1.31523
21.914, 1.31523
21.915, 1.31523
21.916, 1.31524
21.917, 1.31524
21.918, 1.31525
21.919, 1.31525
21.92, 1.31525
21.921, 1.31526
21.922, 1.31526
21.923, 1.31527
21.924, 1.31527
21.925, 1.31528
21.926, 1.31528
21.927, 1.31528
21.928, 1.31529
21.929, 1.31529
21.93, 1.31529
21.931, 1.3153
21.932, 1.3153
21.933, 1.31531
21.934, 1.31531
21.935, 1.31531
21.936, 1.31532
21.937, 1.31532
21.938, 1.31533
21.939, 1.31533
21.94, 1.31534
21.941, 1.31534
21.942, 1.31534
21.943, 1.31535
21.944, 1.31535
21.945, 1.31535
21.946, 1.31536
21.947, 1.31536
21.948, 1.31537
21.949, 1.31537
21.95, 1.31537
21.951, 1.31538
21.952, 1.31538
21.953, 1.31538
21.954, 1.31539
21.955, 1.31539
21.956, 1.3154
21.957, 1.3154
21.958, 1.31541
21.959, 1.31541
21.96, 1.31541
21.961, 1.31542
21.962, 1.31542
21.963, 1.31542
21.964, 1.31543
21.965, 1.31543
21.966, 1.31543
21.967, 1.31544
21.968, 1.31544
21.969, 1.31545
21.97, 1.31545
21.971, 1.31545
21.972, 1.31546
21.973, 1.31546
21.974, 1.31546
21.975, 1.31547
21.976, 1.31547
21.977, 1.31548
21.978, 1.31548
21.979, 1.31548
21.98, 1.31549
21.981, 1.31549
21.982, 1.3155
21.983, 1.3155
21.984, 1.3155
21.985, 1.31551
21.986, 1.31551
21.987, 1.31551
21.988, 1.31552
21.989, 1.31552
21.99, 1.31552
21.991, 1.31553
21.992, 1.31553
21.993, 1.31553
21.994, 1.31554
21.995, 1.31554
21.996, 1.31554
21.997, 1.31555
21.998, 1.31555
21.999, 1.31555
22, 1.31556
22.001, 1.31556
22.002, 1.31557
22.003, 1.31557
22.004, 1.31557
22.005, 1.31558
22.006, 1.31558
22.007, 1.31558
22.008, 1.31559
22.009, 1.31559
22.01, 1.31559
22.011, 1.3156
22.012, 1.3156
22.013, 1.3156
22.014, 1.31561
22.015, 1.31561
22.016, 1.31561
22.017, 1.31562
22.018, 1.31562
22.019, 1.31562
22.02, 1.31563
22.021, 1.31563
22.022, 1.31563
22.023, 1.31564
22.024, 1.31564
22.025, 1.31564
22.026, 1.31564
22.027, 1.31565
22.028, 1.31565
22.029, 1.31565
22.03, 1.31566
22.031, 1.31566
22.032, 1.31566
22.033, 1.31567
22.034, 1.31567
22.035, 1.31567
22.036, 1.31568
22.037, 1.31568
22.038, 1.31568
22.039, 1.31569
22.04, 1.31569
22.041, 1.31569
22.042, 1.3157
22.043, 1.3157
22.044, 1.3157
22.045, 1.3157
22.046, 1.3157
22.047, 1.31571
22.048, 1.31571
22.049, 1.31571
22.05, 1.31572
22.051, 1.31572
22.052, 1.31572
22.053, 1.31573
22.054, 1.31573
22.055, 1.31573
22.056, 1.31573
22.057, 1.31574
22.058, 1.31574
22.059, 1.31574
22.06, 1.31575
22.061, 1.31575
22.062, 1.31575
22.063, 1.31576
22.064, 1.31576
22.065, 1.31576
22.066, 1.31576
22.067, 1.31576
22.068, 1.31577
22.069, 1.31577
22.07, 1.31577
22.071, 1.31578
22.072, 1.31578
22.073, 1.31578
22.074, 1.31578
22.075, 1.31579
22.076, 1.31579
22.077, 1.31579
22.078, 1.3158
22.079, 1.3158
22.08, 1.3158
22.081, 1.3158
22.082, 1.3158
22.083, 1.31581
22.084, 1.31581
22.085, 1.31581
22.086, 1.31581
22.087, 1.31582
22.088, 1.31582
22.089, 1.31582
22.09, 1.31583
22.091, 1.31583
22.092, 1.31583
22.093, 1.31583
22.094, 1.31583
22.095, 1.31584
22.096, 1.31584
22.097, 1.31584
22.098, 1.31584
22.099, 1.31585
22.1, 1.31585
22.101, 1.31585
22.102, 1.31586
22.103, 1.31586
22.104, 1.31586
22.105, 1.31586
22.106, 1.31586
22.107, 1.31587
22.108, 1.31587
22.109, 1.31587
22.11, 1.31587
22.111, 1.31588
22.112, 1.31588
22.113, 1.31588
22.114, 1.31588
22.115, 1.31588
22.116, 1.31589
22.117, 1.31589
22.118, 1.31589
22.119, 1.31589
22.12, 1.3159
22.121, 1.3159
22.122, 1.3159
22.123, 1.3159
22.124, 1.31591
22.125, 1.31591
22.126, 1.31591
22.127, 1.31591
22.128, 1.31591
22.129, 1.31591
22.13, 1.31592
22.131, 1.31592
22.132, 1.31592
22.133, 1.31592
22.134, 1.31592
22.135, 1.31592
22.136, 1.31592
22.137, 1.31592
22.138, 1.31592
22.139, 1.31592
22.14, 1.31592
22.141, 1.31592
22.142, 1.31592
22.143, 1.31592
