sim_time, tortoise/coxa_hinge2?0/position
39.777, 0.0152523
39.778, 0.01525
39.779, 0.0152477
39.78, 0.0152455
39.781, 0.0152432
39.782, 0.0152409
39.783, 0.0152386
39.784, 0.0152364
39.785, 0.0152341
39.786, 0.0152318
39.787, 0.0152296
39.788, 0.0152273
39.789, 0.015225
39.79, 0.0152227
39.791, 0.0152205
39.792, 0.0152182
39.793, 0.0152159
39.794, 0.0152137
39.795, 0.0152114
39.796, 0.0152091
39.797, 0.0152068
39.798, 0.0152046
39.799, 0.0152023
39.8, 0.0152
39.801, 0.0151978
39.802, 0.0151955
39.803, 0.0151932
39.804, 0.015191
39.805, 0.0151887
39.806, 0.0151864
39.807, 0.0151841
39.808, 0.0151819
39.809, 0.0151796
39.81, 0.0151773
39.811, 0.0151751
39.812, 0.0151728
39.813, 0.0151705
39.814, 0.0151683
39.815, 0.015166
39.816, 0.0151637
39.817, 0.0151615
39.818, 0.0151592
39.819, 0.0151569
39.82, 0.0151547
39.821, 0.0151524
39.822, 0.0151501
39.823, 0.0151478
39.824, 0.0151456
39.825, 0.0151433
39.826, 0.015141
39.827, 0.0151388
39.828, 0.0151365
39.829, 0.0151342
39.83, 0.015132
39.831, 0.0151297
39.832, 0.0151274
39.833, 0.0151252
39.834, 0.0151229
39.835, 0.0151206
39.836, 0.0151184
39.837, 0.0151161
39.838, 0.0151138
39.839, 0.0151116
39.84, 0.0151093
39.841, 0.015107
39.842, 0.0151048
39.843, 0.0151025
39.844, 0.0151002
39.845, 0.015098
39.846, 0.0150957
39.847, 0.0150934
39.848, 0.0150912
39.849, 0.0150889
39.85, 0.0150866
39.851, 0.0150844
39.852, 0.0150821
39.853, 0.0150798
39.854, 0.0150776
39.855, 0.0150753
39.856, 0.015073
39.857, 0.0150708
39.858, 0.0150685
39.859, 0.0150663
39.86, 0.015064
39.861, 0.0150617
39.862, 0.0150595
39.863, 0.0150572
39.864, 0.0150549
39.865, 0.0150527
39.866, 0.0150504
39.867, 0.0150481
39.868, 0.0150459
39.869, 0.0150436
39.87, 0.0150413
39.871, 0.0150391
39.872, 0.0150368
39.873, 0.0150345
39.874, 0.0150323
39.875, 0.01503
39.876, 0.0150278
39.877, 0.0150255
39.878, 0.0150232
39.879, 0.015021
39.88, 0.0150187
39.881, 0.0150164
39.882, 0.0150142
39.883, 0.0150119
39.884, 0.0150096
39.885, 0.0150074
39.886, 0.0150051
39.887, 0.0150029
39.888, 0.0150006
39.889, 0.0149983
39.89, 0.0149961
39.891, 0.0149938
39.892, 0.0149915
39.893, 0.0149893
39.894, 0.014987
39.895, 0.0149848
39.896, 0.0149825
39.897, 0.0149802
39.898, 0.014978
39.899, 0.0149757
39.9, 0.0149735
39.901, 0.0149712
39.902, 0.0149689
39.903, 0.0149667
39.904, 0.0149644
39.905, 0.0149621
39.906, 0.0149599
39.907, 0.0149576
39.908, 0.0149554
39.909, 0.0149531
39.91, 0.0149508
39.911, 0.0149486
39.912, 0.0149463
39.913, 0.0149441
39.914, 0.0149418
39.915, 0.0149395
39.916, 0.0149373
39.917, 0.014935
39.918, 0.0149328
39.919, 0.0149305
39.92, 0.0149282
39.921, 0.014926
39.922, 0.0149237
39.923, 0.0149215
39.924, 0.0149192
39.925, 0.0149169
39.926, 0.0149147
39.927, 0.0149124
39.928, 0.0149102
39.929, 0.0149079
39.93, 0.0149057
39.931, 0.0149034
39.932, 0.0149011
39.933, 0.0148989
39.934, 0.0148966
39.935, 0.0148944
39.936, 0.0148921
39.937, 0.0148898
39.938, 0.0148876
39.939, 0.0148853
39.94, 0.0148831
39.941, 0.0148808
39.942, 0.0148786
39.943, 0.0148763
39.944, 0.014874
39.945, 0.0148718
39.946, 0.0148695
39.947, 0.0148673
39.948, 0.014865
39.949, 0.0148628
39.95, 0.0148605
39.951, 0.0148583
39.952, 0.014856
39.953, 0.0148537
39.954, 0.0148515
