sim_time, tortoise/tibia_hinge0?0/position
1.001, 1.55531
1.002, 1.55531
1.003, 1.55531
1.004, 1.55531
1.005, 1.55531
1.006, 1.55531
1.007, 1.55531
1.008, 1.55531
1.009, 1.5553
1.01, 1.55531
1.011, 1.5553
1.012, 1.55531
1.013, 1.5553
1.014, 1.5553
1.015, 1.5553
1.016, 1.5553
1.017, 1.5553
1.018, 1.5553
1.019, 1.5553
1.02, 1.5553
1.021, 1.5553
1.022, 1.5553
1.023, 1.5553
1.024, 1.5553
1.025, 1.5553
1.026, 1.5553
1.027, 1.5553
1.028, 1.5553
1.029, 1.5553
1.03, 1.5553
1.031, 1.5553
1.032, 1.5553
1.033, 1.5553
1.034, 1.5553
1.035, 1.5553
1.036, 1.5553
1.037, 1.5553
1.038, 1.5553
1.039, 1.55529
1.04, 1.5553
1.041, 1.55529
1.042, 1.5553
1.043, 1.55529
1.044, 1.55529
1.045, 1.55529
1.046, 1.55529
1.047, 1.55529
1.048, 1.55529
1.049, 1.55529
1.05, 1.55529
1.051, 1.55529
1.052, 1.55529
1.053, 1.55529
1.054, 1.55529
1.055, 1.55529
1.056, 1.55529
1.057, 1.55529
1.058, 1.55529
1.059, 1.55529
1.06, 1.55529
1.061, 1.55529
1.062, 1.55529
1.063, 1.55529
1.064, 1.55529
1.065, 1.55529
1.066, 1.55529
1.067, 1.55529
1.068, 1.55529
1.069, 1.55529
1.07, 1.55529
1.071, 1.55528
1.072, 1.55529
1.073, 1.55528
1.074, 1.55529
1.075, 1.55528
1.076, 1.55528
1.077, 1.55528
1.078, 1.55528
1.079, 1.55528
1.08, 1.55528
1.081, 1.55528
1.082, 1.55528
1.083, 1.55528
1.084, 1.55528
1.085, 1.55528
1.086, 1.55528
1.087, 1.55528
1.088, 1.55528
1.089, 1.55528
1.09, 1.55528
1.091, 1.55528
1.092, 1.55528
1.093, 1.55528
1.094, 1.55528
1.095, 1.55528
1.096, 1.55528
1.097, 1.55528
1.098, 1.55528
1.099, 1.55528
1.1, 1.55528
1.101, 1.55527
1.102, 1.55528
1.103, 1.55527
1.104, 1.55528
1.105, 1.55527
1.106, 1.55527
1.107, 1.55527
1.108, 1.55527
1.109, 1.55527
1.11, 1.55527
1.111, 1.55527
1.112, 1.55527
1.113, 1.55527
1.114, 1.55527
1.115, 1.55527
1.116, 1.55527
1.117, 1.55527
1.118, 1.55527
1.119, 1.55527
1.12, 1.55527
1.121, 1.55527
1.122, 1.55527
1.123, 1.55527
1.124, 1.55527
1.125, 1.55527
1.126, 1.55527
1.127, 1.55527
1.128, 1.55527
1.129, 1.55527
1.13, 1.55527
1.131, 1.55527
1.132, 1.55527
1.133, 1.55526
1.134, 1.55527
1.135, 1.55526
1.136, 1.55527
1.137, 1.55526
1.138, 1.55526
