sim_time, tortoise/femur_hinge2?0/position
1.001, 0.0128567
1.002, 0.0128567
1.003, 0.0128566
1.004, 0.0128566
1.005, 0.0128565
1.006, 0.0128565
1.007, 0.0128565
1.008, 0.0128565
1.009, 0.0128564
1.01, 0.0128564
1.011, 0.0128564
1.012, 0.0128564
1.013, 0.0128562
1.014, 0.0128562
1.015, 0.0128562
1.016, 0.0128562
1.017, 0.0128561
1.018, 0.0128561
1.019, 0.0128561
1.02, 0.0128561
1.021, 0.012856
1.022, 0.012856
1.023, 0.0128559
1.024, 0.0128559
1.025, 0.0128559
1.026, 0.0128559
1.027, 0.0128558
1.028, 0.0128558
1.029, 0.0128557
1.03, 0.0128557
1.031, 0.0128556
1.032, 0.0128556
1.033, 0.0128556
1.034, 0.0128556
1.035, 0.0128555
1.036, 0.0128555
1.037, 0.0128554
1.038, 0.0128554
1.039, 0.0128553
1.04, 0.0128553
1.041, 0.0128553
1.042, 0.0128553
1.043, 0.0128552
1.044, 0.0128552
1.045, 0.0128551
1.046, 0.0128551
1.047, 0.0128551
1.048, 0.0128551
1.049, 0.012855
1.05, 0.012855
1.051, 0.0128549
1.052, 0.0128549
1.053, 0.0128548
1.054, 0.0128548
1.055, 0.0128548
1.056, 0.0128548
1.057, 0.0128547
1.058, 0.0128547
1.059, 0.0128546
1.06, 0.0128546
1.061, 0.0128545
1.062, 0.0128545
1.063, 0.0128545
1.064, 0.0128545
1.065, 0.0128544
1.066, 0.0128544
1.067, 0.0128544
1.068, 0.0128544
1.069, 0.0128543
1.07, 0.0128543
1.071, 0.0128542
1.072, 0.0128542
1.073, 0.0128542
1.074, 0.0128542
1.075, 0.0128541
1.076, 0.0128541
1.077, 0.012854
1.078, 0.012854
1.079, 0.012854
1.08, 0.012854
1.081, 0.0128539
1.082, 0.0128539
1.083, 0.0128539
1.084, 0.0128539
1.085, 0.0128538
1.086, 0.0128538
1.087, 0.0128537
1.088, 0.0128537
1.089, 0.0128537
1.09, 0.0128537
1.091, 0.0128536
1.092, 0.0128536
1.093, 0.0128535
1.094, 0.0128535
1.095, 0.0128535
1.096, 0.0128535
1.097, 0.0128534
1.098, 0.0128534
1.099, 0.0128534
1.1, 0.0128534
1.101, 0.0128533
1.102, 0.0128533
1.103, 0.0128532
1.104, 0.0128532
1.105, 0.0128532
1.106, 0.0128532
1.107, 0.0128531
1.108, 0.0128531
1.109, 0.012853
1.11, 0.012853
1.111, 0.012853
1.112, 0.012853
1.113, 0.0128529
1.114, 0.0128529
1.115, 0.0128529
1.116, 0.0128529
1.117, 0.0128528
1.118, 0.0128528
1.119, 0.0128527
1.12, 0.0128527
1.121, 0.0128527
1.122, 0.0128527
1.123, 0.0128526
1.124, 0.0128526
1.125, 0.0128526
1.126, 0.0128525
1.127, 0.0128525
1.128, 0.0128525
1.129, 0.0128524
1.13, 0.0128524
1.131, 0.0128524
1.132, 0.0128524
1.133, 0.0128523
1.134, 0.0128523
1.135, 0.0128522
1.136, 0.0128522
1.137, 0.0128522
1.138, 0.0128522
1.139, 0.0128521
1.14, 0.0128521
1.141, 0.0128521
1.142, 0.0128521
1.143, 0.012852
1.144, 0.012852
1.145, 0.0128519
1.146, 0.0128519
1.147, 0.0128519
1.148, 0.0128519
1.149, 0.0128518
1.15, 0.0128518
1.151, 0.0128517
1.152, 0.0128517
1.153, 0.0128517
1.154, 0.0128517
1.155, 0.0128516
1.156, 0.0128516
1.157, 0.0128516
1.158, 0.0128516
1.159, 0.0128515
1.16, 0.0128515
1.161, 0.0128514
1.162, 0.0128514
1.163, 0.0128514
1.164, 0.0128514
1.165, 0.0128513
1.166, 0.0128513
1.167, 0.0128512
1.168, 0.0128512
1.169, 0.0128512
1.17, 0.0128512
1.171, 0.0128511
1.172, 0.0128511
1.173, 0.0128511
1.174, 0.0128511
1.175, 0.012851
1.176, 0.012851
1.177, 0.0128509
1.178, 0.0128509
1.179, 0.0128509
1.18, 0.0128509
1.181, 0.0128508
1.182, 0.0128508
1.183, 0.0128507
1.184, 0.0128507
1.185, 0.0128507
1.186, 0.0128507
1.187, 0.0128506
1.188, 0.0128506
1.189, 0.0128506
1.19, 0.0128506
1.191, 0.0128505
1.192, 0.0128505
1.193, 0.0128504
1.194, 0.0128504
1.195, 0.0128504
1.196, 0.0128504
1.197, 0.0128503
1.198, 0.0128503
1.199, 0.0128502
1.2, 0.0128502
1.201, 0.0128502
1.202, 0.0128502
1.203, 0.0128501
1.204, 0.0128501
1.205, 0.0128501
1.206, 0.0128501
1.207, 0.01285
1.208, 0.01285
1.209, 0.0128499
1.21, 0.0128499
1.211, 0.0128499
1.212, 0.0128499
1.213, 0.0128498
1.214, 0.0128498
1.215, 0.0128497
1.216, 0.0128497
1.217, 0.0128497
1.218, 0.0128497
1.219, 0.0128496
1.22, 0.0128496
1.221, 0.0128496
1.222, 0.0128496
1.223, 0.0128495
1.224, 0.0128495
1.225, 0.0128494
1.226, 0.0128494
1.227, 0.0128494
1.228, 0.0128494
1.229, 0.0128493
1.23, 0.0128493
1.231, 0.0128492
1.232, 0.0128492
1.233, 0.0128492
1.234, 0.0128492
1.235, 0.0128491
1.236, 0.0128491
1.237, 0.0128491
1.238, 0.0128491
1.239, 0.012849
1.24, 0.012849
1.241, 0.0128489
1.242, 0.0128489
1.243, 0.0128489
1.244, 0.0128489
1.245, 0.0128488
1.246, 0.0128488
1.247, 0.0128487
1.248, 0.0128487
1.249, 0.0128487
1.25, 0.0128487
1.251, 0.0128486
1.252, 0.0128486
1.253, 0.0128486
1.254, 0.0128486
1.255, 0.0128485
1.256, 0.0128485
1.257, 0.0128484
1.258, 0.0128484
1.259, 0.0128484
1.26, 0.0128484
1.261, 0.0128483
1.262, 0.0128483
1.263, 0.0128483
1.264, 0.0128483
1.265, 0.0128482
1.266, 0.0128482
1.267, 0.0128481
1.268, 0.0128481
1.269, 0.0128481
1.27, 0.0128481
1.271, 0.012848
1.272, 0.012848
1.273, 0.0128479
1.274, 0.012848
1.275, 0.012848
1.276, 0.012848
1.277, 0.0128479
1.278, 0.012848
1.279, 0.012848
1.28, 0.012848
1.281, 0.0128479
1.282, 0.0128481
1.283, 0.0128481
1.284, 0.0128481
1.285, 0.012848
1.286, 0.012848
1.287, 0.012848
1.288, 0.012848
1.289, 0.0128478
1.29, 0.012848
1.291, 0.012848
1.292, 0.012848
1.293, 0.0128479
1.294, 0.0128479
1.295, 0.0128479
1.296, 0.0128479
1.297, 0.0128478
1.298, 0.0128478
1.299, 0.0128478
1.3, 0.0128478
1.301, 0.0128477
1.302, 0.0128477
1.303, 0.0128476
1.304, 0.0128476
1.305, 0.0128476
1.306, 0.0128476
1.307, 0.0128475
1.308, 0.0128475
1.309, 0.0128474
1.31, 0.0128474
1.311, 0.0128474
1.312, 0.0128474
1.313, 0.0128473
1.314, 0.0128473
1.315, 0.0128473
1.316, 0.0128473
1.317, 0.0128472
1.318, 0.0128472
1.319, 0.0128471
1.32, 0.0128471
1.321, 0.0128471
1.322, 0.0128471
1.323, 0.012847
1.324, 0.012847
1.325, 0.0128469
1.326, 0.0128469
1.327, 0.0128469
1.328, 0.0128469
1.329, 0.0128468
1.33, 0.0128468
1.331, 0.0128468
1.332, 0.0128468
1.333, 0.0128467
1.334, 0.0128467
1.335, 0.0128466
1.336, 0.0128466
1.337, 0.0128466
1.338, 0.0128466
1.339, 0.0128465
1.34, 0.0128465
1.341, 0.0128464
1.342, 0.0128464
1.343, 0.0128464
1.344, 0.0128464
1.345, 0.0128463
1.346, 0.0128463
1.347, 0.0128463
1.348, 0.0128463
1.349, 0.0128462
1.35, 0.0128462
1.351, 0.0128461
1.352, 0.0128461
1.353, 0.0128461
1.354, 0.0128461
1.355, 0.012846
1.356, 0.012846
1.357, 0.012846
1.358, 0.0128459
1.359, 0.0128459
1.36, 0.0128459
1.361, 0.0128458
1.362, 0.0128458
1.363, 0.0128458
1.364, 0.0128458
1.365, 0.0128457
1.366, 0.0128457
1.367, 0.0128456
1.368, 0.0128456
1.369, 0.0128456
1.37, 0.0128456
1.371, 0.0128455
1.372, 0.0128455
1.373, 0.0128455
1.374, 0.0128455
1.375, 0.0128454
1.376, 0.0128454
1.377, 0.0128453
1.378, 0.0128453
1.379, 0.0128453
1.38, 0.0128453
1.381, 0.0128452
1.382, 0.0128452
1.383, 0.0128451
1.384, 0.0128451
1.385, 0.0128451
1.386, 0.0128451
1.387, 0.012845
1.388, 0.0128451
1.389, 0.0128451
1.39, 0.0128451
1.391, 0.012845
1.392, 0.0128451
1.393, 0.0128451
1.394, 0.0128451
1.395, 0.0128451
1.396, 0.0128451
1.397, 0.012845
1.398, 0.012845
1.399, 0.0128449
1.4, 0.0128451
1.401, 0.012845
1.402, 0.012845
1.403, 0.012845
1.404, 0.012845
1.405, 0.0128449
1.406, 0.0128449
1.407, 0.0128448
1.408, 0.012845
1.409, 0.0128449
1.41, 0.0128449
1.411, 0.0128449
1.412, 0.0128449
1.413, 0.0128448
1.414, 0.0128448
1.415, 0.0128447
1.416, 0.0128449
1.417, 0.0128448
1.418, 0.0128448
1.419, 0.0128448
1.42, 0.0128448
1.421, 0.0128447
1.422, 0.0128447
1.423, 0.0128446
1.424, 0.0128448
1.425, 0.0128448
1.426, 0.0128448
1.427, 0.0128447
1.428, 0.0128447
1.429, 0.0128446
1.43, 0.0128446
1.431, 0.0128445
1.432, 0.0128447
1.433, 0.0128447
1.434, 0.0128447
1.435, 0.0128446
1.436, 0.0128446
1.437, 0.0128445
1.438, 0.0128445
1.439, 0.0128445
1.44, 0.0128445
1.441, 0.0128444
1.442, 0.0128444
1.443, 0.0128443
1.444, 0.0128443
1.445, 0.0128443
1.446, 0.0128443
1.447, 0.0128442
1.448, 0.0128442
1.449, 0.0128442
1.45, 0.0128442
1.451, 0.0128441
1.452, 0.0128441
1.453, 0.012844
1.454, 0.012844
1.455, 0.012844
1.456, 0.012844
1.457, 0.0128439
1.458, 0.0128439
1.459, 0.0128438
1.46, 0.0128438
1.461, 0.0128438
1.462, 0.0128438
1.463, 0.0128437
1.464, 0.0128437
1.465, 0.0128437
1.466, 0.0128437
1.467, 0.0128436
1.468, 0.0128436
1.469, 0.0128435
1.47, 0.0128435
1.471, 0.0128435
1.472, 0.0128435
1.473, 0.0128434
1.474, 0.0128434
1.475, 0.0128433
1.476, 0.0128433
1.477, 0.0128433
1.478, 0.0128433
1.479, 0.0128432
1.48, 0.0128432
1.481, 0.0128432
1.482, 0.0128432
1.483, 0.0128431
1.484, 0.0128431
1.485, 0.012843
1.486, 0.012843
1.487, 0.012843
1.488, 0.012843
1.489, 0.0128429
1.49, 0.0128429
1.491, 0.0128428
1.492, 0.0128428
1.493, 0.0128428
1.494, 0.0128428
1.495, 0.0128427
1.496, 0.0128427
1.497, 0.0128427
1.498, 0.0128427
1.499, 0.0128426
1.5, 0.0128426
1.501, 0.0128425
1.502, 0.0128425
1.503, 0.0128425
1.504, 0.0128425
1.505, 0.0128424
1.506, 0.0128424
1.507, 0.0128424
1.508, 0.0128424
1.509, 0.0128423
1.51, 0.0128423
1.511, 0.0128422
1.512, 0.0128422
1.513, 0.0128422
1.514, 0.0128422
1.515, 0.0128421
1.516, 0.0128421
1.517, 0.012842
1.518, 0.012842
1.519, 0.012842
1.52, 0.012842
1.521, 0.0128419
1.522, 0.0128419
1.523, 0.0128419
1.524, 0.0128419
1.525, 0.0128418
1.526, 0.0128418
1.527, 0.0128417
1.528, 0.0128417
1.529, 0.0128417
1.53, 0.0128417
1.531, 0.0128416
1.532, 0.0128416
1.533, 0.0128415
1.534, 0.0128415
1.535, 0.0128415
1.536, 0.0128415
