sim_time, tortoise/coxa_hinge0?0/position
1.001, -0.00184425
1.002, -0.00184412
1.003, -0.00184349
1.004, -0.00184336
1.005, -0.00184272
1.006, -0.00184259
1.007, -0.00184195
1.008, -0.00184182
1.009, -0.00184119
1.01, -0.00184106
1.011, -0.00184042
1.012, -0.00184029
1.013, -0.00183966
1.014, -0.00183953
1.015, -0.00183889
1.016, -0.00183876
1.017, -0.00183813
1.018, -0.001838
1.019, -0.00183736
1.02, -0.00183723
1.021, -0.0018366
1.022, -0.00183647
1.023, -0.00183584
1.024, -0.00183571
1.025, -0.00183507
1.026, -0.00183494
1.027, -0.00183431
1.028, -0.00183418
1.029, -0.00183355
1.03, -0.00183342
1.031, -0.00183278
1.032, -0.00183266
1.033, -0.00183202
1.034, -0.00183189
1.035, -0.00183126
1.036, -0.00183113
1.037, -0.0018305
1.038, -0.00183037
1.039, -0.00182974
1.04, -0.00182961
1.041, -0.00182898
1.042, -0.00182885
1.043, -0.00182822
1.044, -0.00182809
1.045, -0.00182746
1.046, -0.00182733
1.047, -0.0018267
1.048, -0.00182657
1.049, -0.00182594
1.05, -0.00182581
1.051, -0.00182518
1.052, -0.00182505
1.053, -0.00182442
1.054, -0.00182429
1.055, -0.00182366
1.056, -0.00182353
1.057, -0.0018229
1.058, -0.00182278
1.059, -0.00182215
1.06, -0.00182202
1.061, -0.00182139
1.062, -0.00182126
1.063, -0.00182063
1.064, -0.0018205
1.065, -0.00181988
1.066, -0.00181975
1.067, -0.00181912
1.068, -0.00181899
1.069, -0.00181836
1.07, -0.00181824
1.071, -0.00181761
1.072, -0.00181748
1.073, -0.00181685
1.074, -0.00181672
1.075, -0.0018161
1.076, -0.00181597
1.077, -0.00181534
1.078, -0.00181522
1.079, -0.00181459
1.08, -0.00181446
1.081, -0.00181383
1.082, -0.00181371
1.083, -0.00181308
1.084, -0.00181295
1.085, -0.00181233
1.086, -0.0018122
1.087, -0.00181157
1.088, -0.00181145
1.089, -0.00181082
1.09, -0.00181069
1.091, -0.00181007
1.092, -0.00180994
1.093, -0.00180931
1.094, -0.00180919
1.095, -0.00180856
1.096, -0.00180844
1.097, -0.00180781
1.098, -0.00180769
1.099, -0.00180706
1.1, -0.00180693
1.101, -0.00180631
1.102, -0.00180618
1.103, -0.00180556
1.104, -0.00180543
1.105, -0.00180481
1.106, -0.00180468
1.107, -0.00180406
1.108, -0.00180393
1.109, -0.00180331
1.11, -0.00180318
1.111, -0.00180256
1.112, -0.00180243
1.113, -0.00180181
1.114, -0.00180169
1.115, -0.00180106
1.116, -0.00180094
1.117, -0.00180031
1.118, -0.00180019
1.119, -0.00179956
1.12, -0.00179944
1.121, -0.00179882
1.122, -0.00179869
1.123, -0.00179807
1.124, -0.00179795
1.125, -0.00179732
1.126, -0.0017972
1.127, -0.00179657
1.128, -0.00179645
1.129, -0.00179583
1.13, -0.00179571
1.131, -0.00179508
1.132, -0.00179496
1.133, -0.00179434
1.134, -0.00179421
1.135, -0.00179359
1.136, -0.00179347
1.137, -0.00179284
1.138, -0.00179272
1.139, -0.0017921
1.14, -0.00179198
1.141, -0.00179136
1.142, -0.00179123
1.143, -0.00179061
1.144, -0.00179049
1.145, -0.00178987
1.146, -0.00178975
1.147, -0.00178912
1.148, -0.001789
1.149, -0.00178838
1.15, -0.00178826
1.151, -0.00178764
1.152, -0.00178752
1.153, -0.00178689
1.154, -0.00178677
1.155, -0.00178615
1.156, -0.00178603
1.157, -0.00178541
1.158, -0.00178529
1.159, -0.00178467
1.16, -0.00178455
1.161, -0.00178393
1.162, -0.00178381
1.163, -0.00178318
1.164, -0.00178306
1.165, -0.00178244
1.166, -0.00178232
1.167, -0.0017817
1.168, -0.00178158
1.169, -0.00178096
1.17, -0.00178084
1.171, -0.00178022
1.172, -0.0017801
1.173, -0.00177948
1.174, -0.00177936
1.175, -0.00177874
1.176, -0.00177862
1.177, -0.001778
1.178, -0.00177789
1.179, -0.00177727
1.18, -0.00177715
1.181, -0.00177653
1.182, -0.00177641
1.183, -0.00177579
1.184, -0.00177567
1.185, -0.00177505
1.186, -0.00177493
1.187, -0.00177431
1.188, -0.0017742
1.189, -0.00177358
1.19, -0.00177346
1.191, -0.00177284
1.192, -0.00177272
1.193, -0.0017721
1.194, -0.00177199
1.195, -0.00177137
1.196, -0.00177125
1.197, -0.00177063
1.198, -0.00177051
1.199, -0.0017699
1.2, -0.00176978
1.201, -0.00176916
1.202, -0.00176904
1.203, -0.00176843
1.204, -0.00176831
1.205, -0.00176769
1.206, -0.00176757
1.207, -0.00176696
1.208, -0.00176684
1.209, -0.00176622
1.21, -0.00176611
1.211, -0.00176549
1.212, -0.00176537
1.213, -0.00176476
1.214, -0.00176464
1.215, -0.00176402
1.216, -0.00176391
1.217, -0.00176329
1.218, -0.00176317
1.219, -0.00176256
1.22, -0.00176244
1.221, -0.00176183
1.222, -0.00176171
1.223, -0.00176109
1.224, -0.00176098
1.225, -0.00176036
1.226, -0.00176025
1.227, -0.00175963
1.228, -0.00175951
1.229, -0.0017589
1.23, -0.00175878
1.231, -0.00175817
1.232, -0.00175805
1.233, -0.00175744
1.234, -0.00175732
1.235, -0.00175671
1.236, -0.00175659
1.237, -0.00175598
1.238, -0.00175586
1.239, -0.00175525
1.24, -0.00175513
1.241, -0.00175452
1.242, -0.00175441
1.243, -0.00175379
1.244, -0.00175368
1.245, -0.00175306
1.246, -0.00175295
1.247, -0.00175233
1.248, -0.00175222
1.249, -0.00175161
1.25, -0.00175149
1.251, -0.00175088
1.252, -0.00175077
1.253, -0.00175015
1.254, -0.00175004
1.255, -0.00174943
1.256, -0.00174931
1.257, -0.0017487
1.258, -0.00174858
1.259, -0.00174797
1.26, -0.00174786
1.261, -0.00174725
1.262, -0.00174713
1.263, -0.00174652
1.264, -0.00174641
1.265, -0.00174579
1.266, -0.00174568
1.267, -0.00174507
1.268, -0.00174496
1.269, -0.00174434
1.27, -0.00174423
1.271, -0.00174362
1.272, -0.00174351
1.273, -0.0017429
1.274, -0.00174278
1.275, -0.00174217
1.276, -0.00174206
1.277, -0.00174145
1.278, -0.00174134
1.279, -0.00174073
1.28, -0.00174061
1.281, -0.00174
1.282, -0.00173989
1.283, -0.00173928
1.284, -0.00173917
1.285, -0.00173856
1.286, -0.00173845
1.287, -0.00173784
1.288, -0.00173772
1.289, -0.00173711
1.29, -0.001737
1.291, -0.00173639
1.292, -0.00173628
1.293, -0.00173567
1.294, -0.00173556
1.295, -0.00173495
1.296, -0.00173484
1.297, -0.00173423
1.298, -0.00173412
1.299, -0.00173351
1.3, -0.0017334
1.301, -0.00173279
1.302, -0.00173243
1.303, -0.00173123
1.304, -0.00173074
1.305, -0.00172917
1.306, -0.00172858
1.307, -0.00172684
1.308, -0.00172618
1.309, -0.0017243
1.31, -0.0017236
1.311, -0.00172166
1.312, -0.00172085
1.313, -0.00171881
1.314, -0.0017179
1.315, -0.00171576
1.316, -0.00171474
1.317, -0.0017125
1.318, -0.00171139
1.319, -0.00170909
1.32, -0.00170791
1.321, -0.00170556
1.322, -0.00170434
1.323, -0.00170196
1.324, -0.00170071
1.325, -0.00169831
1.326, -0.00169706
1.327, -0.00169465
1.328, -0.00169339
1.329, -0.00169097
1.33, -0.0016897
1.331, -0.00168729
1.332, -0.00168603
1.333, -0.00168362
1.334, -0.00168235
1.335, -0.00167995
1.336, -0.00167869
1.337, -0.0016763
1.338, -0.00167505
1.339, -0.00167268
1.34, -0.00167144
1.341, -0.00166908
1.342, -0.00166784
1.343, -0.0016655
1.344, -0.00166428
1.345, -0.00166196
1.346, -0.00166075
1.347, -0.00165844
1.348, -0.00165724
1.349, -0.00165496
1.35, -0.00165377
1.351, -0.0016515
1.352, -0.00165031
1.353, -0.00164806
1.354, -0.00164689
1.355, -0.00164465
1.356, -0.00164349
1.357, -0.00164126
1.358, -0.00164011
1.359, -0.0016379
1.36, -0.00163675
1.361, -0.00163456
1.362, -0.00163342
1.363, -0.00163124
1.364, -0.0016301
1.365, -0.00162794
1.366, -0.00162681
1.367, -0.00162466
1.368, -0.00162354
1.369, -0.0016214
1.37, -0.00162029
1.371, -0.00161817
1.372, -0.00161706
1.373, -0.00161495
1.374, -0.00161386
1.375, -0.00161177
1.376, -0.00161068
1.377, -0.0016086
1.378, -0.00160752
1.379, -0.00160546
1.38, -0.00160439
1.381, -0.00160234
