sim_time, tortoise/femur_hinge3?0/position
1.001, 0.0276559
1.002, 0.0276557
1.003, 0.0276563
1.004, 0.0276561
1.005, 0.0276568
1.006, 0.0276566
1.007, 0.0276572
1.008, 0.027657
1.009, 0.0276576
1.01, 0.0276574
1.011, 0.027658
1.012, 0.0276579
1.013, 0.0276585
1.014, 0.0276583
1.015, 0.0276589
1.016, 0.0276587
1.017, 0.0276593
1.018, 0.0276592
1.019, 0.0276598
1.02, 0.0276596
1.021, 0.0276602
1.022, 0.02766
1.023, 0.0276607
1.024, 0.0276605
1.025, 0.0276611
1.026, 0.0276609
1.027, 0.0276615
1.028, 0.0276613
1.029, 0.027662
1.03, 0.0276618
1.031, 0.0276624
1.032, 0.0276622
1.033, 0.0276628
1.034, 0.0276626
1.035, 0.0276633
1.036, 0.0276631
1.037, 0.0276637
1.038, 0.0276635
1.039, 0.0276641
1.04, 0.0276639
1.041, 0.0276646
1.042, 0.0276644
1.043, 0.027665
1.044, 0.0276648
1.045, 0.0276654
1.046, 0.0276652
1.047, 0.0276659
1.048, 0.0276657
1.049, 0.0276663
1.05, 0.0276661
1.051, 0.0276667
1.052, 0.0276665
1.053, 0.0276672
1.054, 0.027667
1.055, 0.0276676
1.056, 0.0276674
1.057, 0.0276681
1.058, 0.0276679
1.059, 0.0276685
1.06, 0.0276683
1.061, 0.0276689
1.062, 0.0276687
1.063, 0.0276694
1.064, 0.0276692
1.065, 0.0276698
1.066, 0.0276696
1.067, 0.0276702
1.068, 0.02767
1.069, 0.0276707
1.07, 0.0276705
1.071, 0.0276711
1.072, 0.0276709
1.073, 0.0276716
1.074, 0.0276714
1.075, 0.027672
1.076, 0.0276718
1.077, 0.0276724
1.078, 0.0276722
1.079, 0.0276729
1.08, 0.0276727
1.081, 0.0276733
1.082, 0.0276731
1.083, 0.0276737
1.084, 0.0276735
1.085, 0.0276742
1.086, 0.027674
1.087, 0.0276746
1.088, 0.0276744
1.089, 0.0276751
1.09, 0.0276749
1.091, 0.0276755
1.092, 0.0276753
1.093, 0.0276759
1.094, 0.0276757
1.095, 0.0276764
1.096, 0.0276762
1.097, 0.0276768
1.098, 0.0276766
1.099, 0.0276773
1.1, 0.0276771
1.101, 0.0276777
1.102, 0.0276775
1.103, 0.0276781
1.104, 0.0276779
1.105, 0.0276786
1.106, 0.0276784
1.107, 0.027679
1.108, 0.0276788
1.109, 0.0276795
1.11, 0.0276793
1.111, 0.0276799
1.112, 0.0276797
1.113, 0.0276803
1.114, 0.0276801
1.115, 0.0276808
1.116, 0.0276806
1.117, 0.0276812
1.118, 0.027681
1.119, 0.0276817
1.12, 0.0276815
1.121, 0.0276821
1.122, 0.0276819
1.123, 0.0276825
1.124, 0.0276823
1.125, 0.027683
1.126, 0.0276828
1.127, 0.0276834
1.128, 0.0276832
1.129, 0.0276839
1.13, 0.0276837
1.131, 0.0276843
1.132, 0.0276841
1.133, 0.0276848
1.134, 0.0276846
1.135, 0.0276852
1.136, 0.027685
1.137, 0.0276856
1.138, 0.0276854
1.139, 0.0276861
1.14, 0.0276859
1.141, 0.0276865
1.142, 0.0276863
1.143, 0.027687
1.144, 0.0276868
1.145, 0.0276874
1.146, 0.0276872
1.147, 0.0276879
1.148, 0.0276877
1.149, 0.0276883
1.15, 0.0276881
1.151, 0.0276887
1.152, 0.0276885
1.153, 0.0276892
1.154, 0.027689
1.155, 0.0276896
1.156, 0.0276894
1.157, 0.0276901
1.158, 0.0276899
1.159, 0.0276905
1.16, 0.0276903
1.161, 0.027691
1.162, 0.0276908
1.163, 0.0276914
1.164, 0.0276912
1.165, 0.0276918
1.166, 0.0276917
1.167, 0.0276923
1.168, 0.0276921
1.169, 0.0276927
1.17, 0.0276925
1.171, 0.0276932
1.172, 0.027693
1.173, 0.0276936
1.174, 0.0276934
1.175, 0.0276941
1.176, 0.0276939
1.177, 0.0276945
1.178, 0.0276943
1.179, 0.027695
1.18, 0.0276948
1.181, 0.0276954
1.182, 0.0276952
1.183, 0.0276959
1.184, 0.0276957
1.185, 0.0276963
1.186, 0.0276961
1.187, 0.0276967
1.188, 0.0276966
1.189, 0.0276972
1.19, 0.027697
1.191, 0.0276976
1.192, 0.0276974
1.193, 0.0276981
1.194, 0.0276979
1.195, 0.0276985
1.196, 0.0276983
1.197, 0.027699
1.198, 0.0276988
1.199, 0.0276994
1.2, 0.0276992
1.201, 0.0276999
1.202, 0.0276997
1.203, 0.0277003
1.204, 0.0277001
1.205, 0.0277008
1.206, 0.0277006
1.207, 0.0277012
1.208, 0.027701
1.209, 0.0277017
1.21, 0.0277015
1.211, 0.0277021
1.212, 0.0277019
1.213, 0.0277026
1.214, 0.0277024
1.215, 0.027703
1.216, 0.0277028
1.217, 0.0277034
1.218, 0.0277033
1.219, 0.0277039
1.22, 0.0277037
1.221, 0.0277043
1.222, 0.0277042
1.223, 0.0277048
1.224, 0.0277046
1.225, 0.0277052
1.226, 0.0277051
1.227, 0.0277057
1.228, 0.0277055
1.229, 0.0277061
1.23, 0.0277059
1.231, 0.0277066
1.232, 0.0277064
1.233, 0.027707
1.234, 0.0277068
1.235, 0.0277075
1.236, 0.0277073
1.237, 0.0277079
1.238, 0.0277077
1.239, 0.0277084
1.24, 0.0277082
1.241, 0.0277088
1.242, 0.0277086
1.243, 0.0277093
1.244, 0.0277091
1.245, 0.0277097
1.246, 0.0277095
1.247, 0.0277102
1.248, 0.02771
1.249, 0.0277106
1.25, 0.0277104
1.251, 0.0277111
1.252, 0.0277109
1.253, 0.0277115
1.254, 0.0277113
1.255, 0.027712
1.256, 0.0277118
1.257, 0.0277124
1.258, 0.0277122
1.259, 0.0277129
1.26, 0.0277127
1.261, 0.0277133
1.262, 0.0277131
1.263, 0.0277138
1.264, 0.0277136
1.265, 0.0277142
1.266, 0.0277141
1.267, 0.0277147
1.268, 0.0277145
1.269, 0.0277151
1.27, 0.027715
1.271, 0.0277156
1.272, 0.0277154
1.273, 0.027716
1.274, 0.0277159
1.275, 0.0277165
1.276, 0.0277163
1.277, 0.0277169
1.278, 0.0277168
1.279, 0.0277174
1.28, 0.0277172
1.281, 0.0277179
1.282, 0.0277177
1.283, 0.0277183
1.284, 0.0277181
1.285, 0.0277188
1.286, 0.0277186
1.287, 0.0277192
1.288, 0.027719
1.289, 0.0277197
1.29, 0.0277195
1.291, 0.0277201
1.292, 0.0277199
1.293, 0.0277206
1.294, 0.0277204
1.295, 0.027721
1.296, 0.0277208
1.297, 0.0277215
1.298, 0.0277213
1.299, 0.0277219
1.3, 0.0277217
1.301, 0.0277224
1.302, 0.02773
1.303, 0.0277294
1.304, 0.0277326
1.305, 0.027732
1.306, 0.0277344
1.307, 0.0277336
1.308, 0.027736
1.309, 0.0277352
1.31, 0.0277363
1.311, 0.0277355
1.312, 0.0277373
1.313, 0.0277365
1.314, 0.0277376
1.315, 0.0277368
1.316, 0.0277383
1.317, 0.0277376
1.318, 0.0277387
1.319, 0.027738
1.32, 0.0277392
1.321, 0.0277385
1.322, 0.0277395
1.323, 0.0277388
1.324, 0.0277399
1.325, 0.0277391
1.326, 0.02774
1.327, 0.0277392
1.328, 0.0277402
1.329, 0.0277394
1.33, 0.0277402
1.331, 0.0277395
1.332, 0.0277403
1.333, 0.0277395
1.334, 0.0277403
1.335, 0.0277395
1.336, 0.0277403
1.337, 0.0277395
1.338, 0.0277403
1.339, 0.0277395
1.34, 0.0277403
1.341, 0.0277395
1.342, 0.0277403
1.343, 0.0277395
1.344, 0.0277403
1.345, 0.0277395
1.346, 0.0277402
1.347, 0.0277395
1.348, 0.0277402
1.349, 0.0277394
1.35, 0.0277402
1.351, 0.0277394
1.352, 0.0277402
1.353, 0.0277394
1.354, 0.0277401
1.355, 0.0277394
1.356, 0.0277401
1.357, 0.0277393
1.358, 0.0277401
1.359, 0.0277393
1.36, 0.02774
1.361, 0.0277392
1.362, 0.02774
1.363, 0.0277392
1.364, 0.0277399
1.365, 0.0277391
1.366, 0.0277399
1.367, 0.0277391
1.368, 0.0277398
1.369, 0.027739
1.37, 0.0277398
1.371, 0.027739
1.372, 0.0277397
1.373, 0.0277389
1.374, 0.0277396
1.375, 0.0277388
1.376, 0.0277395
1.377, 0.0277387
1.378, 0.0277394
1.379, 0.0277386
1.38, 0.0277394
1.381, 0.0277386
1.382, 0.0277393
1.383, 0.0277385
1.384, 0.0277392
1.385, 0.0277384
1.386, 0.0277391
1.387, 0.0277383
1.388, 0.0277389
1.389, 0.0277381
1.39, 0.0277388
1.391, 0.027738
1.392, 0.0277387
1.393, 0.0277379
1.394, 0.0277386
1.395, 0.0277378
1.396, 0.0277385
1.397, 0.0277377
1.398, 0.0277383
1.399, 0.0277375
1.4, 0.0277382
1.401, 0.0277374
1.402, 0.027738
1.403, 0.0277372
1.404, 0.0277379
1.405, 0.0277371
1.406, 0.0277377
1.407, 0.0277369
1.408, 0.0277376
1.409, 0.0277368
1.41, 0.0277374
1.411, 0.0277366
1.412, 0.0277373
1.413, 0.0277365
1.414, 0.0277371
1.415, 0.0277363
1.416, 0.0277369
1.417, 0.0277361
1.418, 0.0277367
1.419, 0.0277359
1.42, 0.0277366
1.421, 0.0277358
1.422, 0.0277364
1.423, 0.0277356
1.424, 0.0277362
1.425, 0.0277354
1.426, 0.027736
1.427, 0.0277352
1.428, 0.0277358
1.429, 0.027735
1.43, 0.0277356
1.431, 0.0277348
1.432, 0.0277354
1.433, 0.0277346
1.434, 0.0277352
1.435, 0.0277344
1.436, 0.027735
1.437, 0.0277342
1.438, 0.0277348
1.439, 0.0277339
1.44, 0.0277346
1.441, 0.0277337
1.442, 0.0277343
1.443, 0.0277335
1.444, 0.0277341
1.445, 0.0277333
1.446, 0.0277339
1.447, 0.0277331
1.448, 0.0277336
1.449, 0.0277328
1.45, 0.0277334
1.451, 0.0277326
1.452, 0.0277332
1.453, 0.0277324
1.454, 0.0277329
1.455, 0.0277321
1.456, 0.0277327
1.457, 0.0277319
1.458, 0.0277325
1.459, 0.0277316
1.46, 0.0277322
1.461, 0.0277314
1.462, 0.027732
1.463, 0.0277311
1.464, 0.0277317
1.465, 0.0277309
1.466, 0.0277314
1.467, 0.0277306
1.468, 0.0277312
1.469, 0.0277304
1.47, 0.0277309
1.471, 0.0277301
1.472, 0.0277307
1.473, 0.0277298
1.474, 0.0277304
1.475, 0.0277296
1.476, 0.0277301
1.477, 0.0277293
1.478, 0.0277299
1.479, 0.027729
1.48, 0.0277296
1.481, 0.0277288
1.482, 0.0277293
1.483, 0.0277285
1.484, 0.027729
1.485, 0.0277282
1.486, 0.0277288
1.487, 0.0277279
1.488, 0.0277285
1.489, 0.0277276
1.49, 0.0277282
1.491, 0.0277274
1.492, 0.0277279
1.493, 0.0277271
1.494, 0.0277276
1.495, 0.0277268
1.496, 0.0277274
1.497, 0.0277265
1.498, 0.0277271
1.499, 0.0277262
1.5, 0.0277268
1.501, 0.0277259
1.502, 0.0277265
1.503, 0.0277256
1.504, 0.0277262
1.505, 0.0277254
1.506, 0.0277259
1.507, 0.0277251
1.508, 0.0277256
1.509, 0.0277248
1.51, 0.0277253
1.511, 0.0277245
1.512, 0.027725
1.513, 0.0277242
1.514, 0.0277247
1.515, 0.0277239
1.516, 0.0277244
1.517, 0.0277236
1.518, 0.0277241
1.519, 0.0277233
1.52, 0.0277238
1.521, 0.027723
1.522, 0.0277235
1.523, 0.0277227
1.524, 0.0277232
1.525, 0.0277224
1.526, 0.0277229
1.527, 0.0277221
1.528, 0.0277226
1.529, 0.0277218
1.53, 0.0277223
1.531, 0.0277215
1.532, 0.027722
1.533, 0.0277212
1.534, 0.0277217
1.535, 0.0277209
1.536, 0.0277214
1.537, 0.0277206
1.538, 0.0277211
1.539, 0.0277203
1.54, 0.0277208
1.541, 0.02772
1.542, 0.0277205
1.543, 0.0277196
1.544, 0.0277202
1.545, 0.0277193
1.546, 0.0277199
1.547, 0.027719
1.548, 0.0277196
1.549, 0.0277187
1.55, 0.0277193
1.551, 0.0277184
1.552, 0.027719
1.553, 0.0277181
1.554, 0.0277187
