sim_time, tortoise/femur_hinge2?0/position
1.001, 0.23692
1.002, 0.23692
1.003, 0.23692
1.004, 0.23692
1.005, 0.23692
1.006, 0.23692
1.007, 0.23692
1.008, 0.23692
1.009, 0.23692
1.01, 0.23692
1.011, 0.23692
1.012, 0.236909
1.013, 0.236909
1.014, 0.236909
1.015, 0.236909
1.016, 0.236909
1.017, 0.236909
1.018, 0.236909
1.019, 0.236909
1.02, 0.236909
1.021, 0.236909
1.022, 0.236909
1.023, 0.236909
1.024, 0.236909
1.025, 0.236909
1.026, 0.236909
1.027, 0.236909
1.028, 0.236909
1.029, 0.236909
1.03, 0.236909
1.031, 0.236909
1.032, 0.236909
1.033, 0.236909
1.034, 0.236909
1.035, 0.236898
1.036, 0.236898
1.037, 0.236898
1.038, 0.236898
1.039, 0.236898
1.04, 0.236898
1.041, 0.236898
1.042, 0.236898
1.043, 0.236898
1.044, 0.236898
1.045, 0.236898
1.046, 0.236898
1.047, 0.236898
1.048, 0.236898
1.049, 0.236898
1.05, 0.236898
1.051, 0.236898
1.052, 0.236898
1.053, 0.236898
1.054, 0.236898
1.055, 0.236898
1.056, 0.236898
1.057, 0.236898
1.058, 0.236887
1.059, 0.236887
1.06, 0.236887
1.061, 0.236887
1.062, 0.236887
1.063, 0.236887
1.064, 0.236887
1.065, 0.236887
1.066, 0.236887
1.067, 0.236887
1.068, 0.236887
1.069, 0.236887
1.07, 0.236887
1.071, 0.236887
1.072, 0.236887
1.073, 0.236887
1.074, 0.236887
1.075, 0.236887
1.076, 0.236887
1.077, 0.236887
1.078, 0.236887
1.079, 0.236887
1.08, 0.236887
1.081, 0.236887
1.082, 0.236876
1.083, 0.236876
1.084, 0.236876
1.085, 0.236876
1.086, 0.236876
1.087, 0.236876
1.088, 0.236876
1.089, 0.236876
1.09, 0.236876
1.091, 0.236876
1.092, 0.236876
1.093, 0.236876
1.094, 0.236876
1.095, 0.236876
1.096, 0.236876
1.097, 0.236876
1.098, 0.236876
1.099, 0.236876
1.1, 0.236876
1.101, 0.236876
1.102, 0.236876
1.103, 0.236876
1.104, 0.236876
1.105, 0.236876
1.106, 0.236876
1.107, 0.236865
1.108, 0.236865
1.109, 0.236865
1.11, 0.236865
1.111, 0.236865
1.112, 0.236865
1.113, 0.236865
1.114, 0.236865
1.115, 0.236865
1.116, 0.236865
1.117, 0.236865
1.118, 0.236865
1.119, 0.236865
1.12, 0.236865
1.121, 0.236865
1.122, 0.236865
1.123, 0.236865
1.124, 0.236865
1.125, 0.236865
1.126, 0.236865
1.127, 0.236865
1.128, 0.236865
1.129, 0.236865
1.13, 0.236865
1.131, 0.236865
1.132, 0.236865
1.133, 0.236853
1.134, 0.236853
1.135, 0.236853
1.136, 0.236853
1.137, 0.236853
1.138, 0.236853
1.139, 0.236853
1.14, 0.236853
1.141, 0.236853
1.142, 0.236853
1.143, 0.236853
1.144, 0.236853
1.145, 0.236853
1.146, 0.236853
1.147, 0.236853
1.148, 0.236853
1.149, 0.236853
1.15, 0.236853
1.151, 0.236853
1.152, 0.236853
1.153, 0.236853
1.154, 0.236853
1.155, 0.236853
1.156, 0.236853
1.157, 0.236853
1.158, 0.236853
1.159, 0.236853
1.16, 0.236841
1.161, 0.236842
1.162, 0.236842
1.163, 0.236842
1.164, 0.236842
1.165, 0.236842
1.166, 0.236842
1.167, 0.236842
1.168, 0.236842
1.169, 0.236842
1.17, 0.236842
1.171, 0.236842
1.172, 0.236842
1.173, 0.236842
1.174, 0.236842
1.175, 0.236842
1.176, 0.236842
1.177, 0.236842
1.178, 0.236842
1.179, 0.236842
1.18, 0.236842
1.181, 0.236842
1.182, 0.236842
1.183, 0.236842
1.184, 0.236842
1.185, 0.236842
1.186, 0.236842
1.187, 0.23683
1.188, 0.23683
1.189, 0.23683
1.19, 0.23683
1.191, 0.23683
1.192, 0.23683
1.193, 0.23683
1.194, 0.23683
1.195, 0.23683
1.196, 0.23683
1.197, 0.23683
1.198, 0.23683
1.199, 0.23683
1.2, 0.23683
1.201, 0.23683
1.202, 0.23683
1.203, 0.23683
1.204, 0.23683
1.205, 0.23683
1.206, 0.23683
1.207, 0.23683
1.208, 0.23683
1.209, 0.23683
1.21, 0.23683
1.211, 0.23683
1.212, 0.23683
1.213, 0.23683
1.214, 0.23683
1.215, 0.23683
1.216, 0.236818
1.217, 0.236818
1.218, 0.236818
1.219, 0.236818
1.22, 0.236818
1.221, 0.236818
1.222, 0.236818
1.223, 0.236818
1.224, 0.236818
1.225, 0.236818
1.226, 0.236818
1.227, 0.236818
1.228, 0.236818
1.229, 0.236818
1.23, 0.236818
1.231, 0.236818
1.232, 0.236818
1.233, 0.236818
1.234, 0.236818
1.235, 0.236818
1.236, 0.236818
1.237, 0.236818
1.238, 0.236818
1.239, 0.236818
1.24, 0.236818
1.241, 0.236818
1.242, 0.236818
1.243, 0.236818
1.244, 0.236818
1.245, 0.236806
1.246, 0.236806
1.247, 0.236806
1.248, 0.236806
1.249, 0.236806
1.25, 0.236806
1.251, 0.236806
1.252, 0.236806
1.253, 0.236806
1.254, 0.236806
1.255, 0.236806
1.256, 0.236806
1.257, 0.236806
1.258, 0.236806
1.259, 0.236806
1.26, 0.236806
1.261, 0.236806
1.262, 0.236806
1.263, 0.236806
1.264, 0.236806
1.265, 0.236806
1.266, 0.236806
1.267, 0.236806
1.268, 0.236806
1.269, 0.236806
1.27, 0.236806
1.271, 0.236806
1.272, 0.236806
1.273, 0.236806
1.274, 0.236806
1.275, 0.236806
1.276, 0.236793
1.277, 0.236794
1.278, 0.236794
1.279, 0.236794
1.28, 0.236794
1.281, 0.236794
1.282, 0.236794
1.283, 0.236794
1.284, 0.236794
1.285, 0.236794
1.286, 0.236794
1.287, 0.236794
1.288, 0.236794
1.289, 0.236794
1.29, 0.236794
1.291, 0.236794
1.292, 0.236794
1.293, 0.236794
1.294, 0.236794
1.295, 0.236794
1.296, 0.236794
1.297, 0.236794
1.298, 0.236794
1.299, 0.236794
1.3, 0.236794
1.301, 0.236794
1.302, 0.236794
1.303, 0.236794
1.304, 0.236794
1.305, 0.236794
1.306, 0.236794
1.307, 0.236794
1.308, 0.236781
1.309, 0.236781
1.31, 0.236781
1.311, 0.236781
1.312, 0.236781
1.313, 0.236781
1.314, 0.236781
1.315, 0.236781
1.316, 0.236781
1.317, 0.236781
1.318, 0.236781
1.319, 0.236781
1.32, 0.236781
1.321, 0.236781
1.322, 0.236781
1.323, 0.236781
1.324, 0.236781
1.325, 0.236781
1.326, 0.236781
1.327, 0.236781
1.328, 0.236781
1.329, 0.236781
1.33, 0.236781
1.331, 0.236781
1.332, 0.236781
1.333, 0.236781
1.334, 0.236781
1.335, 0.236781
1.336, 0.236781
1.337, 0.236781
1.338, 0.236781
1.339, 0.236781
1.34, 0.236781
1.341, 0.236769
1.342, 0.236769
1.343, 0.236769
1.344, 0.236769
1.345, 0.236769
1.346, 0.236769
1.347, 0.236769
1.348, 0.236769
1.349, 0.236769
1.35, 0.236769
1.351, 0.236769
1.352, 0.236769
1.353, 0.236769
1.354, 0.236769
1.355, 0.236769
1.356, 0.236769
1.357, 0.236769
1.358, 0.236769
1.359, 0.236769
1.36, 0.236769
1.361, 0.236769
1.362, 0.236769
1.363, 0.236769
1.364, 0.236769
1.365, 0.236769
1.366, 0.236769
1.367, 0.236769
1.368, 0.236769
1.369, 0.236769
1.37, 0.236769
1.371, 0.236769
1.372, 0.236769
1.373, 0.236769
1.374, 0.236769
1.375, 0.236769
1.376, 0.236756
1.377, 0.236756
1.378, 0.236756
1.379, 0.236756
1.38, 0.236756
