sim_time, tortoise/coxa_hinge1?0/position
1.001, -0.00654045
1.002, -0.00653928
1.003, -0.00653787
1.004, -0.00653627
1.005, -0.00653454
1.006, -0.00653274
1.007, -0.00653091
1.008, -0.00652909
1.009, -0.0065273
1.01, -0.00652556
1.011, -0.00652389
1.012, -0.00652228
1.013, -0.00652075
1.014, -0.00651928
1.015, -0.00651789
1.016, -0.00651657
1.017, -0.00651531
1.018, -0.00651411
1.019, -0.00651297
1.02, -0.00651188
1.021, -0.00651083
1.022, -0.00650982
1.023, -0.00650886
1.024, -0.00650792
1.025, -0.00650701
1.026, -0.00650613
1.027, -0.00650528
1.028, -0.00650444
1.029, -0.00650361
1.03, -0.00650281
1.031, -0.00650201
1.032, -0.00650123
1.033, -0.00650046
1.034, -0.0064997
1.035, -0.00649894
1.036, -0.0064982
1.037, -0.00649745
1.038, -0.00649672
1.039, -0.00649599
1.04, -0.00649527
1.041, -0.00649455
1.042, -0.00649384
1.043, -0.00649313
1.044, -0.00649243
1.045, -0.00649173
1.046, -0.00649104
1.047, -0.00649036
1.048, -0.00648967
1.049, -0.006489
1.05, -0.00648832
1.051, -0.00648765
1.052, -0.00648699
1.053, -0.00648632
1.054, -0.00648566
1.055, -0.00648501
1.056, -0.00648435
1.057, -0.0064837
1.058, -0.00648305
1.059, -0.0064824
1.06, -0.00648176
1.061, -0.00648111
1.062, -0.00648047
1.063, -0.00647983
1.064, -0.00647918
1.065, -0.00647854
1.066, -0.0064779
1.067, -0.00647726
1.068, -0.00647663
1.069, -0.00647599
1.07, -0.00647535
1.071, -0.00647471
1.072, -0.00647406
1.073, -0.00647342
1.074, -0.00647278
1.075, -0.00647214
1.076, -0.00647149
1.077, -0.00647085
1.078, -0.0064702
1.079, -0.00646955
1.08, -0.00646891
1.081, -0.00646826
1.082, -0.0064676
1.083, -0.00646695
1.084, -0.0064663
1.085, -0.00646564
1.086, -0.00646499
1.087, -0.00646433
1.088, -0.00646367
1.089, -0.00646301
1.09, -0.00646235
1.091, -0.00646169
1.092, -0.00646103
1.093, -0.00646036
1.094, -0.0064597
1.095, -0.00645903
1.096, -0.00645837
1.097, -0.0064577
1.098, -0.00645703
1.099, -0.00645636
1.1, -0.00645471
1.101, -0.00645324
1.102, -0.00645172
1.103, -0.00645061
1.104, -0.00644935
1.105, -0.00644847
