sim_time, tortoise/femur_hinge2?0/position
1.001, 0.244827
1.002, 0.244827
1.003, 0.244827
1.004, 0.244827
1.005, 0.244827
1.006, 0.244827
1.007, 0.244827
1.008, 0.244827
1.009, 0.244827
1.01, 0.244827
1.011, 0.244827
1.012, 0.244827
1.013, 0.244827
1.014, 0.244827
1.015, 0.244827
1.016, 0.244827
1.017, 0.244827
1.018, 0.244827
1.019, 0.244827
1.02, 0.244827
1.021, 0.244827
1.022, 0.244827
1.023, 0.244827
1.024, 0.244827
1.025, 0.244827
1.026, 0.244827
1.027, 0.244827
1.028, 0.244827
1.029, 0.244827
1.03, 0.244827
1.031, 0.244827
1.032, 0.244827
1.033, 0.244827
1.034, 0.244827
1.035, 0.244827
1.036, 0.244827
1.037, 0.244827
1.038, 0.244827
1.039, 0.244827
1.04, 0.244827
1.041, 0.244827
1.042, 0.244827
1.043, 0.244827
1.044, 0.244827
1.045, 0.244827
1.046, 0.244827
1.047, 0.244827
1.048, 0.244827
1.049, 0.244827
1.05, 0.244827
1.051, 0.244827
1.052, 0.244827
1.053, 0.244827
1.054, 0.244827
1.055, 0.244827
1.056, 0.244827
1.057, 0.244827
1.058, 0.244827
1.059, 0.244827
1.06, 0.244827
1.061, 0.244827
1.062, 0.244827
1.063, 0.244827
1.064, 0.244827
1.065, 0.244827
1.066, 0.244827
1.067, 0.244827
1.068, 0.244827
1.069, 0.244827
1.07, 0.244827
1.071, 0.244827
1.072, 0.244827
1.073, 0.244827
1.074, 0.244827
1.075, 0.244827
1.076, 0.244827
1.077, 0.244827
1.078, 0.244827
1.079, 0.244827
1.08, 0.244827
1.081, 0.244827
1.082, 0.244827
1.083, 0.244827
1.084, 0.244827
1.085, 0.244827
1.086, 0.244827
1.087, 0.244827
1.088, 0.244827
1.089, 0.244827
1.09, 0.244827
1.091, 0.244827
1.092, 0.244827
1.093, 0.244827
1.094, 0.244827
1.095, 0.244827
1.096, 0.244827
1.097, 0.244827
1.098, 0.244827
1.099, 0.244827
1.1, 0.24481
1.101, 0.24481
1.102, 0.24481
1.103, 0.24481
1.104, 0.24481
1.105, 0.24481
1.106, 0.24481
1.107, 0.24481
1.108, 0.24481
1.109, 0.24481
1.11, 0.24481
1.111, 0.24481
1.112, 0.24481
1.113, 0.24481
1.114, 0.24481
1.115, 0.24481
1.116, 0.24481
1.117, 0.24481
1.118, 0.24481
1.119, 0.24481
1.12, 0.24481
1.121, 0.24481
1.122, 0.24481
1.123, 0.24481
1.124, 0.24481
1.125, 0.24481
1.126, 0.24481
1.127, 0.24481
1.128, 0.24481
1.129, 0.24481
1.13, 0.24481
1.131, 0.24481
1.132, 0.24481
1.133, 0.24481
1.134, 0.24481
1.135, 0.24481
1.136, 0.24481
1.137, 0.24481
1.138, 0.24481
1.139, 0.24481
1.14, 0.24481
1.141, 0.24481
1.142, 0.24481
1.143, 0.24481
1.144, 0.24481
1.145, 0.24481
1.146, 0.24481
1.147, 0.24481
1.148, 0.24481
1.149, 0.24481
1.15, 0.24481
1.151, 0.24481
1.152, 0.24481
1.153, 0.24481
1.154, 0.24481
1.155, 0.24481
1.156, 0.24481
1.157, 0.24481
1.158, 0.24481
1.159, 0.24481
1.16, 0.24481
1.161, 0.24481
1.162, 0.24481
1.163, 0.24481
1.164, 0.24481
1.165, 0.24481
1.166, 0.24481
1.167, 0.24481
1.168, 0.24481
1.169, 0.24481
1.17, 0.24481
1.171, 0.24481
1.172, 0.24481
1.173, 0.24481
1.174, 0.24481
1.175, 0.24481
1.176, 0.24481
1.177, 0.24481
1.178, 0.24481
1.179, 0.24481
1.18, 0.24481
1.181, 0.24481
1.182, 0.24481
1.183, 0.24481
1.184, 0.24481
1.185, 0.24481
1.186, 0.24481
1.187, 0.24481
1.188, 0.24481
1.189, 0.24481
1.19, 0.24481
1.191, 0.24481
1.192, 0.24481
1.193, 0.24481
1.194, 0.24481
1.195, 0.24481
1.196, 0.24481
1.197, 0.24481
1.198, 0.24481
1.199, 0.24481
1.2, 0.24481
1.201, 0.24481
1.202, 0.24481
1.203, 0.24481
1.204, 0.24481
1.205, 0.24481
1.206, 0.24481
1.207, 0.24481
1.208, 0.24481
1.209, 0.24481
1.21, 0.24481
1.211, 0.24481
1.212, 0.24481
1.213, 0.24481
1.214, 0.24481
1.215, 0.24481
1.216, 0.24481
1.217, 0.24481
1.218, 0.24481
1.219, 0.24481
1.22, 0.24481
1.221, 0.24481
1.222, 0.24481
1.223, 0.24481
1.224, 0.24481
1.225, 0.24481
1.226, 0.24481
1.227, 0.24481
1.228, 0.24481
1.229, 0.24481
1.23, 0.24481
1.231, 0.24481
1.232, 0.24481
1.233, 0.24481
1.234, 0.24481
1.235, 0.24481
1.236, 0.24481
1.237, 0.24481
1.238, 0.24481
1.239, 0.24481
1.24, 0.24481
1.241, 0.24481
1.242, 0.24481
1.243, 0.24481
1.244, 0.24481
1.245, 0.24481
1.246, 0.24481
1.247, 0.24481
1.248, 0.24481
1.249, 0.24481
1.25, 0.24481
1.251, 0.24481
1.252, 0.244792
1.253, 0.244792
1.254, 0.244792
1.255, 0.244792
1.256, 0.244792
1.257, 0.244792
1.258, 0.244792
1.259, 0.244792
1.26, 0.244792
1.261, 0.244792
1.262, 0.244792
1.263, 0.244792
1.264, 0.244792
1.265, 0.244792
1.266, 0.244792
1.267, 0.244792
1.268, 0.244792
1.269, 0.244792
1.27, 0.244792
1.271, 0.244792
1.272, 0.244792
1.273, 0.244792
1.274, 0.244792
1.275, 0.244792
1.276, 0.244792
1.277, 0.244792
1.278, 0.244792
1.279, 0.244792
1.28, 0.244792
1.281, 0.244792
1.282, 0.244792
1.283, 0.244792
1.284, 0.244792
1.285, 0.244792
1.286, 0.244792
1.287, 0.244792
1.288, 0.244792
1.289, 0.244792
1.29, 0.244792
1.291, 0.244792
1.292, 0.244792
1.293, 0.244792
1.294, 0.244792
1.295, 0.244792
1.296, 0.244792
1.297, 0.244792
1.298, 0.244792
1.299, 0.244792
1.3, 0.244792
1.301, 0.244792
1.302, 0.244792
1.303, 0.244792
1.304, 0.244792
1.305, 0.244792
1.306, 0.244792
1.307, 0.244792
1.308, 0.244792
1.309, 0.244792
1.31, 0.244792
1.311, 0.244792
1.312, 0.244792
1.313, 0.244792
1.314, 0.244792
1.315, 0.244792
1.316, 0.244792
1.317, 0.244792
1.318, 0.244792
1.319, 0.244792
1.32, 0.244792
1.321, 0.244792
1.322, 0.244792
1.323, 0.244792
1.324, 0.244792
1.325, 0.244792
1.326, 0.244792
1.327, 0.244792
1.328, 0.244792
1.329, 0.244792
1.33, 0.244792
1.331, 0.244792
1.332, 0.244792
1.333, 0.244792
1.334, 0.244792
1.335, 0.244792
1.336, 0.244792
1.337, 0.244792
1.338, 0.244792
1.339, 0.244792
1.34, 0.244792
1.341, 0.244792
1.342, 0.244792
1.343, 0.244792
1.344, 0.244792
1.345, 0.244792
1.346, 0.244792
1.347, 0.244792
1.348, 0.244792
1.349, 0.244792
1.35, 0.244792
1.351, 0.244792
1.352, 0.244792
1.353, 0.244792
1.354, 0.244792
1.355, 0.244792
1.356, 0.244792
1.357, 0.244792
1.358, 0.244792
1.359, 0.244792
1.36, 0.244792
1.361, 0.244792
1.362, 0.244792
1.363, 0.244792
1.364, 0.244792
1.365, 0.244792
1.366, 0.244792
1.367, 0.244792
1.368, 0.244792
1.369, 0.244792
1.37, 0.244792
1.371, 0.244792
1.372, 0.244792
1.373, 0.244792
1.374, 0.244792
1.375, 0.244792
1.376, 0.244792
1.377, 0.244792
1.378, 0.244792
1.379, 0.244792
1.38, 0.244792
1.381, 0.244792
1.382, 0.244792
1.383, 0.244792
1.384, 0.244792
1.385, 0.244792
1.386, 0.244792
1.387, 0.244792
1.388, 0.244792
1.389, 0.244792
1.39, 0.244792
1.391, 0.244792
1.392, 0.244792
1.393, 0.244792
1.394, 0.244792
1.395, 0.244792
1.396, 0.244792
1.397, 0.244792
1.398, 0.244792
1.399, 0.244792
1.4, 0.244792
1.401, 0.244792
1.402, 0.244792
1.403, 0.244792
1.404, 0.244792
1.405, 0.244792
1.406, 0.244774
1.407, 0.244774
1.408, 0.244774
1.409, 0.244774
1.41, 0.244774
1.411, 0.244774
1.412, 0.244774
1.413, 0.244774
1.414, 0.244774
1.415, 0.244774
1.416, 0.244774
1.417, 0.244774
1.418, 0.244774
1.419, 0.244774
1.42, 0.244774
1.421, 0.244774
1.422, 0.244774
1.423, 0.244774
1.424, 0.244774
1.425, 0.244774
1.426, 0.244774
1.427, 0.244774
1.428, 0.244774
1.429, 0.244774
1.43, 0.244774
1.431, 0.244774
1.432, 0.244774
1.433, 0.244774
1.434, 0.244774
1.435, 0.244774
1.436, 0.244774
1.437, 0.244774
1.438, 0.244774
1.439, 0.244774
1.44, 0.244774
1.441, 0.244774
1.442, 0.244774
1.443, 0.244774
1.444, 0.244774
1.445, 0.244774
1.446, 0.244774
1.447, 0.244774
1.448, 0.244774
1.449, 0.244774
1.45, 0.244774
1.451, 0.244774
1.452, 0.244774
1.453, 0.244774
1.454, 0.244774
1.455, 0.244774
1.456, 0.244774
1.457, 0.244774
1.458, 0.244774
1.459, 0.244774
1.46, 0.244774
1.461, 0.244774
1.462, 0.244774
1.463, 0.244774
1.464, 0.244774
1.465, 0.244774
1.466, 0.244774
1.467, 0.244774
1.468, 0.244774
1.469, 0.244774
1.47, 0.244774
1.471, 0.244774
1.472, 0.244774
1.473, 0.244774
1.474, 0.244774
1.475, 0.244774
1.476, 0.244774
1.477, 0.244774
1.478, 0.244774
1.479, 0.244774
1.48, 0.244774
1.481, 0.244774
1.482, 0.244774
1.483, 0.244774
1.484, 0.244774
1.485, 0.244774
1.486, 0.244774
1.487, 0.244774
1.488, 0.244774
1.489, 0.244774
1.49, 0.244774
1.491, 0.244774
1.492, 0.244774
1.493, 0.244774
1.494, 0.244774
1.495, 0.244774
1.496, 0.244774
1.497, 0.244774
1.498, 0.244774
1.499, 0.244774
1.5, 0.244774
1.501, 0.244774
1.502, 0.244774
1.503, 0.244774
1.504, 0.244774
1.505, 0.244774
1.506, 0.244774
1.507, 0.244774
1.508, 0.244774
1.509, 0.244774
1.51, 0.244774
1.511, 0.244774
1.512, 0.244774
1.513, 0.244774
1.514, 0.244774
1.515, 0.244774
1.516, 0.244774
1.517, 0.244774
1.518, 0.244774
1.519, 0.244774
1.52, 0.244774
