sim_time, tortoise/tibia_hinge1?0/position
1.001, 1.31616
1.002, 1.31616
1.003, 1.31617
1.004, 1.31617
1.005, 1.31617
1.006, 1.31617
1.007, 1.31617
1.008, 1.31617
1.009, 1.31617
1.01, 1.31617
1.011, 1.31617
1.012, 1.31617
1.013, 1.31617
1.014, 1.31617
1.015, 1.31616
1.016, 1.31616
1.017, 1.31616
1.018, 1.31616
1.019, 1.31616
1.02, 1.31616
1.021, 1.31616
1.022, 1.31616
1.023, 1.31616
1.024, 1.31615
1.025, 1.31615
1.026, 1.31615
1.027, 1.31615
1.028, 1.31615
1.029, 1.31615
1.03, 1.31615
1.031, 1.31614
1.032, 1.31614
1.033, 1.31614
1.034, 1.31614
1.035, 1.31614
1.036, 1.31614
1.037, 1.31614
1.038, 1.31613
1.039, 1.31613
1.04, 1.31613
1.041, 1.31613
1.042, 1.31613
1.043, 1.31613
1.044, 1.31612
1.045, 1.31612
1.046, 1.31612
1.047, 1.31612
1.048, 1.31612
1.049, 1.31612
1.05, 1.31611
1.051, 1.31611
1.052, 1.31611
1.053, 1.31611
1.054, 1.31611
1.055, 1.31611
1.056, 1.3161
1.057, 1.3161
1.058, 1.3161
1.059, 1.3161
1.06, 1.3161
1.061, 1.3161
1.062, 1.31609
1.063, 1.31609
1.064, 1.31609
1.065, 1.31609
1.066, 1.31609
1.067, 1.31608
1.068, 1.31608
1.069, 1.31608
1.07, 1.31608
1.071, 1.31608
1.072, 1.31608
1.073, 1.31607
1.074, 1.31607
1.075, 1.31607
1.076, 1.31607
1.077, 1.31607
1.078, 1.31606
1.079, 1.31606
1.08, 1.31606
1.081, 1.31606
1.082, 1.31606
1.083, 1.31606
1.084, 1.31605
1.085, 1.31605
1.086, 1.31605
1.087, 1.31605
1.088, 1.31605
1.089, 1.31604
1.09, 1.31604
1.091, 1.31604
1.092, 1.31604
1.093, 1.31604
1.094, 1.31604
1.095, 1.31603
1.096, 1.31603
1.097, 1.31603
1.098, 1.31603
1.099, 1.31603
1.1, 1.31603
1.101, 1.31602
1.102, 1.31602
1.103, 1.31602
1.104, 1.31602
1.105, 1.31601
1.106, 1.31602
1.107, 1.31601
1.108, 1.31601
1.109, 1.31601
1.11, 1.31601
1.111, 1.316
1.112, 1.316
1.113, 1.316
1.114, 1.316
1.115, 1.31599
1.116, 1.31599
1.117, 1.31599
1.118, 1.31599
1.119, 1.31598
1.12, 1.31599
1.121, 1.31598
1.122, 1.31598
1.123, 1.31598
1.124, 1.31598
1.125, 1.31597
1.126, 1.31598
1.127, 1.31597
1.128, 1.31597
1.129, 1.31597
1.13, 1.31597
1.131, 1.31596
1.132, 1.31596
1.133, 1.31596
1.134, 1.31596
1.135, 1.31595
1.136, 1.31596
1.137, 1.31595
1.138, 1.31595
1.139, 1.31595
1.14, 1.31595
1.141, 1.31594
1.142, 1.31595
1.143, 1.31594
1.144, 1.31594
1.145, 1.31594
1.146, 1.31594
1.147, 1.31593
1.148, 1.31593
1.149, 1.31594
1.15, 1.31594
1.151, 1.31594
1.152, 1.31594
1.153, 1.31594
1.154, 1.31595
1.155, 1.31595
1.156, 1.31595
1.157, 1.31595
1.158, 1.31595
1.159, 1.31596
1.16, 1.31596
1.161, 1.31596
1.162, 1.31595
1.163, 1.31595
1.164, 1.31595
1.165, 1.31595
1.166, 1.31595
1.167, 1.31595
1.168, 1.31595
1.169, 1.31595
1.17, 1.31595
1.171, 1.31595
1.172, 1.31594
1.173, 1.31594
1.174, 1.31594
1.175, 1.31594
1.176, 1.31594
1.177, 1.31594
1.178, 1.31594
1.179, 1.31594
1.18, 1.31593
1.181, 1.31593
1.182, 1.31593
1.183, 1.31593
1.184, 1.31593
1.185, 1.31593
1.186, 1.31593
1.187, 1.31592
1.188, 1.31592
1.189, 1.31592
1.19, 1.31592
1.191, 1.31592
1.192, 1.31592
1.193, 1.31592
1.194, 1.31591
1.195, 1.31591
1.196, 1.31591
1.197, 1.31591
1.198, 1.31591
1.199, 1.31591
1.2, 1.3159
1.201, 1.3159
1.202, 1.3159
1.203, 1.3159
1.204, 1.3159
1.205, 1.3159
1.206, 1.31589
1.207, 1.31589
1.208, 1.31589
1.209, 1.31589
1.21, 1.31589
1.211, 1.31589
1.212, 1.31588
1.213, 1.31588
1.214, 1.31588
1.215, 1.31588
1.216, 1.31588
1.217, 1.31588
1.218, 1.31587
1.219, 1.31587
1.22, 1.31587
1.221, 1.31587
1.222, 1.31587
1.223, 1.31587
1.224, 1.31586
1.225, 1.31586
1.226, 1.31586
1.227, 1.31586
1.228, 1.31586
1.229, 1.31586
1.23, 1.31585
1.231, 1.31585
1.232, 1.31585
1.233, 1.31585
1.234, 1.31585
1.235, 1.31585
1.236, 1.31584
1.237, 1.31584
1.238, 1.31584
1.239, 1.31584
1.24, 1.31584
1.241, 1.31583
1.242, 1.31583
1.243, 1.31583
1.244, 1.31583
1.245, 1.31583
1.246, 1.31583
1.247, 1.31582
1.248, 1.31582
1.249, 1.31582
1.25, 1.31582
1.251, 1.31582
1.252, 1.31582
1.253, 1.31581
1.254, 1.31581
1.255, 1.31581
1.256, 1.31581
1.257, 1.3158
1.258, 1.31581
1.259, 1.3158
1.26, 1.3158
1.261, 1.3158
1.262, 1.3158
1.263, 1.31579
1.264, 1.31579
1.265, 1.31579
1.266, 1.31579
1.267, 1.31578
1.268, 1.31579
1.269, 1.31578
1.27, 1.31578
